FINALIDADE,DISPONIBILIDADE,CIDADE-DO-PRODUTO,INSTITUICAO-FINANCIADORA,FINALIDADE-INGLES,PRODUTO-TECNOLOGICO_Id
"Diagnóstico de Parasitos Intestinais","RESTRITA","São Paulo","UNICAMP, FAPESP.","",0
"Diagnóstico automatizado de parasitos intestinais por análise de imagens","RESTRITA","São Paulo","UNICAMP, FAPESP","",1
"Diagóstico de Parasitos Intestinais","RESTRITA","Campinas","FAPESP, UNICAMP","",2
"Método que possibilita a preparação de lâminas de microscopia ricas em parasitos intestinais e livres de impurezas.","RESTRITA","Campinas","FAPESP, UNICAMP","",3
