NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","3","7533729699758819",,,,0,,,,,,,,
"J. S. Suri","SURI, J. S.","1","",,,,1,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",,,,1,,,,,,,,
"L. Reden","REDEN, L.","3","",,,,1,,,,,,,,
"J. Gao","GAO, J.","4","",,,,1,,,,,,,,
"S. Laxminarayan","LAXMINARAYAN, S.","5","",,,,1,,,,,,,,
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","1","3790201696145434",,,,2,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","2","",,,,2,,,,,,,,
"Felipe P Guazzi Bergo","BERGO, Felipe P Guazzi","1","5311172857522399",,,,3,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","2","",,,,3,,,,,,,,
"Clarissa Yasuda","C.L. Yasuda","3","7563241826313933",,,,3,,,,,,,,
"Guilherme Ruppert","Ruppert","4","0301981213844475",,,,3,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,4,,,,,,,,
"Felipe P G Bergo","BERGO, Felipe P G","2","5311172857522399",,,,4,,,,,,,,
"Fernanda Favretto","Favretto, F.","3","0440807845926250",,,,4,,,,,,,,
"Guilherme Ruppert","Ruppert","4","0301981213844475",,,,4,,,,,,,,
"Paulo Andre V Miranda","MIRANDA, Paulo Andre V","5","5251389003736909",,,,4,,,,,,,,
"Fábio Cappabianco","CAPPABIANCO, Fábio","6","7438076121387151",,,,4,,,,,,,,
"Jancarlo Ferreira Gomes","J.F. Gomes","1","6652749574384275",,,,5,,,,,,,,
"Celso Tetsuo Nagase Suzuki","SUZUKI, Celso Tetsuo Nagase","2","9376921418115878",,,,5,,,,,,,,
"Alexandre Xavier Falcão","FALCAO, A. X.","3","",,,,5,,,,,,,,
"Sumie H Shimizu","SHIMIZU, Sumie H","4","9724264488603566",,,,5,,,,,,,,
"Willian Marinho Dourado Coelho","W.M.D. Coelho","5","",,,,5,,,,,,,,
"Daniel Fontana Ferreira Cardia","D.F.F. Cardia","6","",,,,5,,,,,,,,
"Sandra Valéria Inácio","S.V. Inácio","7","",,,,5,,,,,,,,
"Kátia Denise Saraiva Bresciani","BRESCIANI, K. D. S.","8","5950594366829647",,,,5,,,,,,,,
"Daniel Fontana Ferreira Cardia","D.F.F. Cardia","1","",,,,6,,,,,,,,
"Kátia Denise Saraiva Bresciani","BRESCIANI, K. D. S.","10","5950594366829647",,,,6,,,,,,,,
"Lucilene Granuzzio Camossi","Camossi, L.G.","2","",,,,6,,,,,,,,
"Willian Marinho Dourado Coelho","Coelho, W.M.D.","3","",,,,6,,,,,,,,
"Jancarlo Ferreira Gomes","GOMES, J. F.","4","6652749574384275",,,,6,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","5","",,,,6,,,,,,,,
"Celso Tetsuo Nagase Suzuki","SUZUKI, Celso Tetsuo Nagase","6","9376921418115878",,,,6,,,,,,,,
"Natalia Marinho Dourado Coelho","Coelho, N.M.D","7","",,,,6,,,,,,,,
"Juliana de Carvalho Apolinário Coelho","Coelho, J.C.A.","8","",,,,6,,,,,,,,
"Carlos Noriyuki Kaneto","Kaneto, C.N.","9","",,,,6,,,,,,,,
"Willian Marinho Dourado Coelho","W.M.D. Coelho","1","",,,,7,,,,,,,,
"Juliana de Carvalho Apolinário Coelho","Coelho, J.C.A.","10","",,,,7,,,,,,,,
"Kátia Denise Saraiva Bresciani","BRESCIANI, K. D. S.","11","5950594366829647",,,,7,,,,,,,,
"Weslen Fabricio Pires Teixeira","Texeira, W.F.P.","2","",,,,7,,,,,,,,
"Jancarlo Ferreira Gomes","GOMES, J. F.","3","6652749574384275",,,,7,,,,,,,,
"Daniel Fontana Ferreira Cardia","Cardia, D.F.F.","4","",,,,7,,,,,,,,
"Lucilene Granuzzio Camossi","Camossi, L.G.","5","",,,,7,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","6","",,,,7,,,,,,,,
"Celso Tetsuo Nagase Suzuki","SUZUKI, Celso Tetsuo Nagase","7","9376921418115878",,,,7,,,,,,,,
"Bianca Martins dos Santos","dos Santos, B.M","8","",,,,7,,,,,,,,
"Natalia Marinho Dourado Coelho","Coelho, N.M.D","9","",,,,7,,,,,,,,
"João Paulo Papa","PAPA, J. P.","1","9039182932747194",,,,8,,,,,,,,
"AMORIM, WILLIAN PARAGUASSU","AMORIM, WILLIAN PARAGUASSU","2","8746409982228678",,,,8,,,,,,,,
"Alexandre Xavier Falcão","Falcao, A.X.","3","",,,,8,,,,,,,,
"João Manuel R.S. Tavares","Tavares, J.M.R.S.","4","3960994884239356",,,,8,,,,,,,,
"Lucilene Granuzzio Camossi","Camossi, L.G.","1","",,,,9,,,,,,,,
"Daniel Fontana Ferreira Cardia","Cardia, D.F.F.","2","",,,,9,,,,,,,,
"Helio Langoni Thais Rabelo dos Santos","SANTOS, H. L. T. R.","3","",,,,9,,,,,,,,
"Lucas Vinicius Shigaki de Matos","MATOS, L. V. S.","4","",,,,9,,,,,,,,
"Julia Cestari Pierucci","PIERUCCI, J. C.","5","",,,,9,,,,,,,,
"Jancarlo Ferreira Gomes","GOMES, J. F.","6","6652749574384275",,,,9,,,,,,,,
"Alexandre Xavier Falcão","Falcao, A.X.","7","",,,,9,,,,,,,,
"Alvimar José da Costa","COSTA, A. J.","8","",,,,9,,,,,,,,
"Kátia Denise Saraiva Bresciani","BRESCIANI, K. D. S.","9","5950594366829647",,,,9,,,,,,,,
"Ricardo da Silva Torres","TORRES, R. S.","1","",,,,10,,,,,,,,
"Nádia P. Kozievitch","KOZIEVITCH, N. P.","2","",,,,10,,,,,,,,
"Uma Murthy","Murthy, U.","3","",,,,10,,,,,,,,
"Alexandre Xavier Falcão","Falcao, A.X.","4","",,,,10,,,,,,,,
"REBOLLA, MAYRA FROZONI","REBOLLA, MAYRA FROZONI","1","",,,,,0,,,,,,,
"SILVA, ELIETE MARIA","SILVA, ELIETE MARIA","2","",,,,,0,,,,,,,
"GOMES, JANCARLO FERREIRA","GOMES, JANCARLO FERREIRA","3","",,,,,0,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, ALEXANDRE XAVIER","4","",,,,,0,,,,,,,
"REBOLLA, MARIA VICENTINA FROZONI","REBOLLA, MARIA VICENTINA FROZONI","5","",,,,,0,,,,,,,
"FRANCO, REGINA MAURA BUENO","FRANCO, REGINA MAURA BUENO","6","",,,,,0,,,,,,,
"RUPPERT, GUILHERME C.S.","RUPPERT, GUILHERME C.S.","1","",,,,,1,,,,,,,
"Chiachia, Giovani","Chiachia, Giovani","2","0507994043045945",,,,,1,,,,,,,
"BERGO, FELIPE P.G.","BERGO, FELIPE P.G.","3","",,,,,1,,,,,,,
"FAVRETTO, FERNANDA O.","FAVRETTO, FERNANDA O.","4","",,,,,1,,,,,,,
"YASUDA, CLARISSA L.","YASUDA, CLARISSA L.","5","7563241826313933",,,,,1,,,,,,,
"Anderson Rocha","ROCHA, Anderson","6","1521815731111261",,,,,1,,,,,,,
"Alexandre Xavier Falcão","Falcão, Alexandre X.","7","",,,,,1,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",,,,,,0,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, Roberto de Alencar","2","9224426261471914",,,,,,0,,,,,,
"Rubens Machado","MACHADO, Rubens","3","",,,,,,0,,,,,,
"Celso Tetsuo Nagase Suzuki","SUZUKI, Celso Tetsuo Nagase","1","9376921418115878",,,,,,1,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",,,,,,1,,,,,,
"Felipe Paulo Guazzi Bergo","BERGO, Felipe Paulo Guazzi","1","5311172857522399",,,,,,2,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",,,,,,2,,,,,,
"Leonardo Marques Rocha","ROCHA, Leonardo Marques","1","1691967052471277",,,,,,3,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",,,,,,3,,,,,,
"Li Min","MIN, Li","3","",,,,,,3,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,,,,0,,,,,
"Jancarlo Ferreira Gomes","J.F. Gomes","2","6652749574384275",,,,,,,0,,,,,
"Sumie H Shimizu","SHIMIZU, Sumie H","3","9724264488603566",,,,,,,0,,,,,
"Celso Tetsuo Nagase Suzuki","SUZUKI, Celso Tetsuo Nagase","4","9376921418115878",,,,,,,0,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,,,,1,,,,,
"Celso Tetsuo Nagase Suzuki","SUZUKI, Celso Tetsuo Nagase","2","9376921418115878",,,,,,,1,,,,,
"Jancarlo Ferreira Gomes","J.F. Gomes","3","6652749574384275",,,,,,,1,,,,,
"João Paulo Papa","PAPA, J. P.","4","9039182932747194",,,,,,,1,,,,,
"Luiz Cândido S Dias","DIAS, Luiz Cândido S","5","",,,,,,,1,,,,,
"SHIMIZU, SUMIE H.","SHIMIZU, SUMIE H.","6","",,,,,,,1,,,,,
"Dong Yang","Yang, D.","1","",,,,,,,2,,,,,
"Andre Souza","A. Souza","2","8212775960494686",,,,,,,2,,,,,
"RAY, LAWRENCE","RAY, LAWRENCE","3","",,,,,,,2,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","4","",,,,,,,2,,,,,
"Andre Souza","A. Souza","1","8212775960494686",,,,,,,3,,,,,
"RAY, LAWRENCE","RAY, LAWRENCE","2","",,,,,,,3,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","3","",,,,,,,3,,,,,
"Alexandre Xavier Falcão","Falcão, A.X.","1","",,,,,,,4,,,,,
"Celso Tetsuo Nagase Suzuki","SUZUKI, Celso Tetsuo Nagase","2","9376921418115878",,,,,,,4,,,,,
"Jancarlo Ferreira Gomes","GOMES, J. F.","3","6652749574384275",,,,,,,4,,,,,
"João Paulo Papa","PAPA, J. P.","4","9039182932747194",,,,,,,4,,,,,
"Luiz Cândido S Dias","DIAS, Luiz Cândido S","5","",,,,,,,4,,,,,
"Sumie Hoshino Shimizu","Shimizu, S.H.","6","",,,,,,,4,,,,,
"Alexandre Xavier Falcão","Falcão, A.X.","1","",,,,,,,5,,,,,
"Celso Tetsuo Nagase Suzuki","SUZUKI, Celso Tetsuo Nagase","2","9376921418115878",,,,,,,5,,,,,
"Jancarlo Ferreira Gomes","GOMES, J. F.","3","6652749574384275",,,,,,,5,,,,,
"João Paulo Papa","PAPA, João Paulo","4","9039182932747194",,,,,,,5,,,,,
"Sumie Hoshino-Shimizu","HOSHINO-SHIMIZU, S.","5","9724264488603566",,,,,,,5,,,,,
"Luiz Cândido S Dias","DIAS, Luiz Cândido S","6","",,,,,,,5,,,,,
"Andre Souza","SOUZA, A.","1","",,,,,,,6,,,,,
"Lawrence A. Ray","RAY, L. A.","2","",,,,,,,6,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","3","",,,,,,,6,,,,,
"Bianca Martins dos Santos","dos Santos, B.M","1","",,,,,,,7,,,,,
"Jancarlo Ferreira Gomes","J.F. Gomes","2","6652749574384275",,,,,,,7,,,,,
"Celso Tetsuo Nagase Suzuki","SUZUKI, Celso Tetsuo Nagase","3","9376921418115878",,,,,,,7,,,,,
"Alexandre Xavier Falcão","Falcao, A.X.","4","",,,,,,,7,,,,,
"Sandra Valéria Inácio","S.V. Inácio","1","",,,,,,,8,,,,,
"Kátia Denise Saraiva Bresciani","BRESCIANI, K. D. S.","2","5950594366829647",,,,,,,8,,,,,
"Jancarlo Ferreira Gomes","J.F. Gomes","3","6652749574384275",,,,,,,8,,,,,
"Celso Tetsuo Nagase Suzuki","SUZUKI, Celso Tetsuo Nagase","4","9376921418115878",,,,,,,8,,,,,
"Alexandre Xavier Falcão","Falcao, A.X.","5","",,,,,,,8,,,,,
"Jancarlo Ferreira Gomes","GOMES, J. F.","1","6652749574384275",,,,,,,9,,,,,
"SOARES, FELIPE AUGUSTO","SOARES, FELIPE AUGUSTO","2","",,,,,,,9,,,,,
"Alexandre Xavier Falcão","Falcão, A.X.","3","",,,,,,,9,,,,,
"Edvaldo Sabadini","SABADINI, E.","4","",,,,,,,9,,,,,
"Celso Tetsuo Nagase Suzuki","SUZUKI, Celso Tetsuo Nagase","5","9376921418115878",,,,,,,9,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",,,,,,,,0,,,,
"Celso Tetsuo Nagase Suzuki","SUZUKI, Celso Tetsuo Nagase","2","9376921418115878",,,,,,,,0,,,,
"Jancarlo Ferreira Gomes","J.F. Gomes","3","6652749574384275",,,,,,,,0,,,,
"João Paulo Papa","PAPA, João Paulo","4","9039182932747194",,,,,,,,0,,,,
"Luiz Cândido S Dias","DIAS, Luiz Cândido S","5","",,,,,,,,0,,,,
"Sumie H Shimizu","SHIMIZU, Sumie H","6","9724264488603566",,,,,,,,0,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",,,,,,,,1,,,,
"Celso Tetsuo Nagase Suzuki","SUZUKI, Celso Tetsuo Nagase","2","9376921418115878",,,,,,,,1,,,,
"Jan Carlo Ferreira Gomes","GOMES, Jan Carlo Ferreira","3","",,,,,,,,1,,,,
"João Paulo Papa","PAPA, João Paulo","4","9039182932747194",,,,,,,,1,,,,
"Luiz Cândido S Dias","DIAS, Luiz Cândido S","5","",,,,,,,,1,,,,
"Sumie H Shimizu","SHIMIZU, Sumie H","6","9724264488603566",,,,,,,,1,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,,,,,2,,,,
"Celso Tetsuo Nagase Suzuki","SUZUKI, Celso Tetsuo Nagase","2","9376921418115878",,,,,,,,2,,,,
"Jancarlo Ferreira Gomes","J.F. Gomes","3","6652749574384275",,,,,,,,2,,,,
"João Paulo Papa","PAPA, João Paulo","4","9039182932747194",,,,,,,,2,,,,
"Luiz Cândido S Dias","DIAS, Luiz Cândido S","5","",,,,,,,,2,,,,
"Sumie H Shimizu","SHIMIZU, Sumie H","6","9724264488603566",,,,,,,,2,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,,,,,3,,,,
"Jan Carlo Ferreira Gomes","GOMES, Jan Carlo Ferreira","2","",,,,,,,,3,,,,
"Sumie H Shimizu","SHIMIZU, Sumie H","3","9724264488603566",,,,,,,,3,,,,
"Celso Tetsuo Nagase Suzuki","SUZUKI, Celso Tetsuo Nagase","4","9376921418115878",,,,,,,,3,,,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,,,,,,,0,,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,,,,,,,1,,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,,,,,,,,0,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,,,,,,,,1,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,,,,,,,,2,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,,,,,,,,3,,
"Alexandre Xavier Falcão","Falcão, A.X.","1","",,,,,,,,,,4,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,,,,,,,,5,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,,,,,,,,0,
"Hélio Lopes","Hélio Lopes","2","",,,,,,,,,,,0,
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,,,,,,,,1,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",,,,,,,,,,,,0
"Hélio Lopes","Hélio Lopes","2","",,,,,,,,,,,,0
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",,,,,,,,,,,,1
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",,,,,,,,,,,,2
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",,,,,,,,,,,,3
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",,,,,,,,,,,,4
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",,,,,,,,,,,,5
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",,,,,,,,,,,,6
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",,,,,,,,,,,,7
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",,,,,,,,,,,,8
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,,,,,,,,,9
"Sinésio Peso","Pesco, Sinésio","1","",,,,,,,,,,,,10
"Alexandre Xavier Falcão","Falcão, Alexandre X.","2","",,,,,,,,,,,,10
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,,,,,,,,,11
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,,,,,,,,,12
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,,,,,,,,,13
"Alexandre Xavier Falcão","Falcão, Alexandre X.","1","",,,,,,,,,,,,14
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,,,,,,,,,15
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,,,,,,,,,16
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,,,,,,,,,17
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,,,,,,,,,18
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,,,,,,,,,,19
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,,,,,,,,,,20
"Alexandre Xavier Falcão","Alexandre Xavier Falcão","1","",,,,,,,,,,,,21
"Fernando Paulovich","PAULOVICH, F.","2","",,,,,,,,,,,,21
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,,,,,,,,,,22
"Alexandre Xavier Falcão","Falcão, A.X.","1","",,,,,,,,,,,,23
"Alexandre Xavier Falcão","Falcão, A.X.","1","",,,,,,,,,,,,24
"Alexandre Xavier Falcão","Falcão, A.X.","1","",,,,,,,,,,,,25
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,,,,,,,,,26
"Alexandre Xavier Falcão","Falcão, A.X.","1","",,,,,,,,,,,,27
"Alexandre Xavier Falcão","Falcão, A.X.","1","",,,,,,,,,,,,28
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",,,,,,,,,,,,29
