IDIOMA,DESCRICAO-DO-IDIOMA,PROFICIENCIA-DE-LEITURA,PROFICIENCIA-DE-FALA,PROFICIENCIA-DE-ESCRITA,PROFICIENCIA-DE-COMPREENSAO,IDIOMAS_Id
EN,Inglês,BEM,BEM,BEM,BEM,0
ES,Espanhol,RAZOAVELMENTE,NAO_INFORMADO,NAO_INFORMADO,RAZOAVELMENTE,0
