NATUREZA,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,ORIENTACAO-EM-ANDAMENTO-DE-INICIACAO-CIENTIFICA_Id
Iniciação Científica,PyIFT: Processamento de Imagem por Floresta de Caminhos Ótimos em Python,2017,Brasil,Português,0
Iniciação Científica,PyOPF: Classificação de padrões por floresta de caminhos \'otimos em Python,2017,Brasil,Português,1
