PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"330",0
1,"346",0
2,"347",0
3,"351",0
4,"372",0
5,"373",0
6,"374",0
7,"378",0
8,"454",0
9,"455",0
10,"456",0
11,"457",0
12,"465",0
