SEQUENCIA-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT,TIPO-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT-INGLES,PRODUCOES-CT-DO-PROJETO_Id
"16","An Adaptive and Efficient Clustering-Based Approach for Content Based Retrieval in Image Databases","Trabalho publicado em anais de eventos(Completo)","",0
"20","On Shapes of Colors for Content-Based Image Retrieval","Trabalho publicado em anais de eventos(Completo)","",0
"32","Cell Histograms Versus Color Histograms for Image Representation and Retrieval","Artigo publicado em periódicos(Completo)","Cell Histograms Versus Color Histograms for Image Representation and Retrieval",0
"38","A Compact and Efficient Image Retrieval Approach Based on Border/Interior Pixel Classification","Trabalho publicado em anais de eventos(Completo)","",0
"39","Techniques for Color-Based Image Retrieval","Capítulo de livro publicado","",0
"57","Effective Image Retrieval by Shape Salience","Trabalho publicado em anais de eventos(Completo)","",0
"53","The image foresting transform: theory, algorithms, and applications","Artigo publicado em periódicos(Completo)","The image foresting transform: theory, algorithms, and applications",1
"58","A graph-based approach for multiscale shape analysis","Artigo publicado em periódicos(Completo)","A graph-based approach for multiscale shape analysis",1
"68","Image segmentation by Tree Pruning","Trabalho publicado em anais de eventos(Completo)","",1
"96","Uso do Kit TF-Test para o Diagnóstico Parasitológico em Cães (Canis familiares)","Trabalho publicado em anais de eventos(Resumido)","",1
"97","Análise de Imagens de Parasitos Intestinais do Homem: Uma Realidade","Trabalho publicado em anais de eventos(Resumido)","",1
"107","Contour salience descriptors for effective image retrieval and analysis.","Artigo publicado em periódicos(Completo)","",1
"108","Detecting Contour Saliences using Tensor Scale","Trabalho publicado em anais de eventos(Completo)","",1
"111","Design of Robust Pattern Classifiers based on Optimum-Path Forests","Trabalho publicado em anais de eventos(Completo)","",1
"117","Supervised Pattern Classification by Optimum Path Forest","Participações em eventos(Congresso)","",1
"129","8th International Symposium on Mathematical Morphology (Program Commitee)","Organização de evento(Congresso)","",1
"134","A system for diagnosing intestinal parasites by computerized image analysis","Produto Tecnológico(Projeto)","",1
"135","The Image Foresting Transform from the Image Domain to the Feature Space","Participações em eventos(Simpósio)","",1
"137","Rotation-invariant Texture Recognition","Trabalho publicado em anais de eventos(Completo)","",1
"148","A Robust Extension of the Mean Shift Algorithm using Optimum Path Forest","Trabalho publicado em anais de eventos(Completo)","",1
"149","A Discrete Approach for Supervised Pattern Recognition.","Trabalho publicado em anais de eventos(Completo)","",1
"151","A Discrete Approach for Supervised Pattern Recognition.","Participações em eventos(Congresso)","",1
