NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id
"Professor titular","Titular do Departamento de Matemática Aplicada e Estatística (ICMC-USP)","2015","Brasil","Português","","","",0
"Professor titular","Titular da Faculdade de Tecnologia da UNICAMP","2014","Brasil","Português","","","",1
