CODIGO-INSTITUICAO,NOME-INSTITUICAO,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"033400000004","Universidade Federal de Ouro Preto",0
"","",1
"059100000002","Universidade Federal de Itajubá",2
