NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Concurso público","Contratação Adjunto-I do Departamento de Computação da Universidade Federal de Ouro Preto","2009","Brasil","Português","","","",0
"Concurso público","Contratação de Professor Doutor do Departamento de Ciência de Computação do ICMC-USP-SC","2005","Brasil","Português","","","",1
"Concurso público","Contratação de Professor Assistente I da Faculdade de Engenharia de Computação da Universidade Federal de Itajubá","2002","Brasil","Português","","","",2
