SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,FORMATO-CARGO-OU-FUNCAO,CARGO-OU-FUNCAO,NOME-UNIDADE,CARGO-OU-FUNCAO-INGLES,ATIVIDADES-DE-DIRECAO-E-ADMINISTRACAO_Id
"7","ANTERIOR","8","2001","7","2003","007901000997","Instituto de Computação","007901001993","LIVRE","Vice-Coordenador de Pós-Graduação","Departamento de Sistemas de Informação","",0
"48","ANTERIOR","08","2006","03","2007","007901000997","Instituto de Computação","","LIVRE","Diretor Associado","","",0
"64","ANTERIOR","07","2009","07","2010","007901000997","Instituto de Computação","","LIVRE","Coordenador de Pós-Graduação do IC-UNICAMP","","",0
"23","ANTERIOR","8","2003","02","2007","007901000997","Instituto de Computação","007901001993","LIVRE","Coordenador do Mestrado Profissionalizante","Departamento de Sistemas de Informação","",0
