TIPO,TITULO-DO-CAPITULO-DO-LIVRO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-CAPITULO-DO-LIVRO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"Capítulo de livro publicado","Techniques for Color-Based Image Retrieval","2002","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",0
"Capítulo de livro publicado","Recent Advances in Mammography, Breast Imaging, and Computer-aided Diagnosis of Breast Cancer","2006","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",1
"Capítulo de livro publicado","Recuperação de Imagens Baseada em Conteúdo","2008","Brasil","Português","IMPRESSO","","NAO","","","NAO",2
"Capítulo de livro publicado","Fast, Accurate and Precise Mid-Saggital Plane Location in 3D MR Images of the Brain","2008","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",3
"Capítulo de livro publicado","Processamento, Visualização e Análise de Imagens Anatômicas do Cérebro Humano","2008","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",4
"Capítulo de livro publicado","Advances in the Canine Coproparasitological  Examination","2013","Estados Unidos","Inglês","VARIOS","https://www.novapublishers.com/catalog/product_info.php?products_id=44207","NAO","","","NAO",5
"Capítulo de livro publicado","Visceral Larva Migrans Syndrome (chapter 2)","2014","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",6
"Capítulo de livro publicado","Cutaneous Larva Migrans Syndrome (chapter 3)","2014","Estados Unidos","Inglês","MEIO_DIGITAL","","NAO","","","NAO",7
"Capítulo de livro publicado","Recents Advances on Optimum-Path Forest for Data Classification: Supervised, Semi-Supervised, and Unsupervised Learning","2016","Estados Unidos","Inglês","VARIOS","","NAO","","","NAO",8
"Capítulo de livro publicado","Recent Advances in Ovine Toxoplasmosis and Public Health Aspects","2014","Estados Unidos","Inglês","NAO_INFORMADO","","NAO","","","NAO",9
"Capítulo de livro publicado","Content-Based Image Retrieval (Chapter 1)","2014","Estados Unidos","Inglês","NAO_INFORMADO","http://www.morganclaypool.com/doi/abs/10.2200/S00565ED1V01Y201401ICR032","NAO","","","NAO",10
