SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADE-DE-EXTENSAO-REALIZADA,ATIVIDADES-DE-EXTENSAO-UNIVERSITARIA_Id
"4","ANTERIOR","1","1998","4","2001","007901000997","Instituto de Computação","007901001993","Departamento de Sistemas de Informação","Consultoria em projeto PIPE da FAPESP (Proc.No. 97/13306-6)",0
"10","ANTERIOR","5","2002","3","2003","007901000997","Instituto de Computação","007901001993","Departamento de Sistemas de Informação","Consultoria em processamento de imagens microscópicas para Immunoassay Ind. e Com. LTDA.",0
"30","ANTERIOR","5","2003","1","2004","007901000997","Instituto de Computação","007901001993","Departamento de Sistemas de Informação","Consultoria em métodos de avaliação objetiva de qualidade de vídeo digital para CPqD-TELEBRÁS.",0
"36","ANTERIOR","6","2004","6","2004","007901000997","Instituto de Computação","007901001993","Departamento de Sistemas de Informação","Curso de procesamento de imagens de sensoriamento remoto",0
"35","ANTERIOR","6","2002","6","2002","007901000997","Instituto de Computação","007901001993","Departamento de Sistemas de Informação","Curso de processamento de imagens de sensoriamento remoto.",0
