NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,EQUIPE-DO-PROJETO_Id
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,NAO,0
Cláudia Bauzer de Medeiros,"MEDEIROS, Cláudia Bauzer de",2,SIM,0
Neucimar Jerônimo Leite,"LEITE, Neucimar Jerônimo",3,NAO,0
Cecília Baranauskas,"BARANAUSKAS, Cecília",4,NAO,0
Edmundo Madeira,"MADEIRA, Edmundo",5,NAO,0
Eliane Martins,"MARTINS, Eliane",6,NAO,0
Jansle,JANSLE,7,NAO,0
Rubens,RUBENS,8,NAO,0
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,NAO,1
Cláudia Bauzer de Medeiros,"MEDEIROS, Cláudia Bauzer de",2,SIM,1
Neucimar Jerônimo Leite,"LEITE, Neucimar Jerônimo",3,NAO,1
Cecília Baranauskas,"BARANAUSKAS, Cecília",4,NAO,1
Edmundo Madeira,"MADEIRA, Edmundo",5,NAO,1
Eliane Martins,"MARTINS, Eliane",6,NAO,1
