NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SIMPOSIO_Id
"8th Intl. Symposium on Mathematical Morphology","","","","Rio de Janeiro","",0
"3rd IEEE Intl. Symposium on Biomedical Imaging: From Nano to Macro (ISBI)","","","","Arlington, VA","",1
