NOME-INSTITUICAO,NATUREZA,FINANCIADORES-DO-PROJETO_Id
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,0
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,1
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,2
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,3
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,4
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,5
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,5
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,6
Microsoft Research University,AUXILIO_FINANCEIRO,7
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,8
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,9
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,9
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,10
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,10
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,11
Conselho Nacional de Desenvolvimento Científico e Tecnológico,OUTRO,12
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,13
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,13
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,14
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,15
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,16
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,17
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,18
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,19
