PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,LINHA-DE-PESQUISA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,SOFTWARE_Id,PRODUTO-TECNOLOGICO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id
"segmentação de imagens","Operadores Conexos","Esqueletos Multiescala","","","",,,,,,,,,,2,,
"Rendering","","","","","",,,,,,,,,,3,,
"segmentação de imagens médicas","Image Foresting Transform","","","","",,,,,,,,,,4,,
"segmentação de imagens","visualização de imagens médicas","","","","",,,,,,,,,,5,,
"processamento de imagens","Image Foresting Transform","","","","",,,,,,,,,,6,,
"Computaçao de Imagens Médicas","Deteção de Bordas","segmentação de imagens","processamento de imagens","","",,,,,,,,,,25,,
"Recuperação por Conteúdo","","","","","",,,,,,,,,,,0,
"recuperação de imagens por conteúdo","processamento de imagens","descritores de imagem","","","",,,,,,,,,,,1,
"visualização de imagens médicas","","","","","",,,,,,,,,,,,1
"processamneto de imagens","Image Foresting Transform","algoritmos em grafos","","","",,,,,,,,,,,,4
"segmentação de imagens","processamento de imagens médicas","","","","",,,,,,,,,,,,5
"visualização de imagens médicas","volume rendering","surface rendering","maximum intensity projection","","",,,,,,,,,,,,6
"Interface homem-máquina","visualização de imagens médicas","wxWindows","","","",,,,,,,,,,,,8
