ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-EM-ANDAMENTO_Id
0,"503",0
1,"502",0
2,"467",0
3,"504",0
4,"469",0
5,"468",0
