DETALHAMENTO-DA-PATENTE_Id,FINALIDADE,INSTITUICAO-FINANCIADORA,FINALIDADE-INGLES,CATEGORIA,PATENTE_Id
0,"","","","Produto e Processo",0
1,"","FAPESP; CNPq","","Produto e Processo",1
2,"","","","Processo",2
3,"","","","Processo",3
4,"","FAPESP; CNPq","","Produto e Processo",4
5,"","FAPESP; CNPq","","Produto e Processo",5
6,"","","","Processo",6
7,"","","","Processo",7
8,"","","","Produto e Processo",8
9,"","","","Produto e Processo",9
