PATENTE_Id,SEQUENCIA-PRODUCAO,PRODUCAO-TECNICA_Id
0,"450",0
1,"451",0
2,"452",0
3,"453",0
4,"460",0
5,"461",0
6,"464",0
7,"491",0
8,"492",0
9,"495",0
