CODIGO-CURSO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,NIVEL-CURSO,INFORMACOES-ADICIONAIS-CURSOS_Id
"33050104","","","006740000003","Escola de Engenharia de São Carlos","ENGENHARIAS","Engenharia Elétrica","","","MESTRADO_DOUTORADO",0
"33070210","","","007900000004","Universidade Estadual de Campinas","ENGENHARIAS","Engenharia Elétrica","","","MESTRADO_DOUTORADO",0
"33070210","","","007900000004","Universidade Estadual de Campinas","ENGENHARIAS","Engenharia Elétrica","","","MESTRADO_DOUTORADO",0
"33080666","","","033000000007","Universidade Estadual Paulista Júlio de Mesquita Filho","ENGENHARIAS","Engenharia Elétrica","","","MESTRADO_DOUTORADO",0
"60034394","","","007940009002","Departamento de Sistemas de Energia Elétrica","OUTROS","","","","MESTRADO_DOUTORADO",0
"60043628","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","DOUTORADO",0
"60046295","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","DOUTORADO",0
"60773510","","","867100000004","Universidade Federal de Alfenas","CIENCIAS_AGRARIAS","Agronomia","","","MESTRADO",0
"90000001","","","006700000002","Universidade de São Paulo","OUTROS","","","","GRADUACAO",0
"90000002","","","007900000004","Universidade Estadual de Campinas","ENGENHARIAS","","","","GRADUACAO",0
"90000003","","","007900000004","Universidade Estadual de Campinas","ENGENHARIAS","Engenharia Mecânica","","","MESTRADO",0
"90000004","","","007900000004","Universidade Estadual de Campinas","ENGENHARIAS","Engenharia Civil","","","DOUTORADO",0
"90000005","","","007900000004","Universidade Estadual de Campinas","ENGENHARIAS","Engenharia Elétrica","","","DOUTORADO",0
"90000006","","","007900000004","Universidade Estadual de Campinas","ENGENHARIAS","Engenharia Elétrica","","","MESTRADO",0
"90000007","","","000100000991","Faculdade de Engenharia Elétrica e de Computação - UNICAMP","ENGENHARIAS","Engenharia de Produção","Pesquisa Operacional","","DOUTORADO",0
"90000008","","","000100000991","Faculdade de Engenharia Elétrica e de Computação - UNICAMP","OUTROS","","","","DOUTORADO",0
"90000009","","","000100000991","Faculdade de Engenharia Elétrica e de Computação - UNICAMP","ENGENHARIAS","Engenharia Elétrica","Sistemas Elétricos de Potência","","MESTRADO",0
