NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Exame de qualificação de doutorado","Planejamento de operação energética de médio prazo do sistema interligado nacional considerando restrições de fluxo de potência cc","2012","Brasil","Português","","","",0
"Exame de qualificação de mestrado","Modelagem Inteligente para Análise de Séries de Vazões Afluentes","2015","Brasil","Português","","","",1
