ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-EM-ANDAMENTO_Id
0,"247",0
1,"240",0
2,"181",0
3,"180",0
