TITULO-DO-LIVRO,NUMERO-DE-VOLUMES,PAGINA-INICIAL,PAGINA-FINAL,ISBN,ORGANIZADORES,NUMERO-DA-EDICAO-REVISAO,NUMERO-DA-SERIE,CIDADE-DA-EDITORA,NOME-DA-EDITORA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"An Intelligent Hybrid Model for Bus Load Forecasting in Electrical Short-Term Operation Tasks","","540","562","9781615206","Handbook of Research on Industrial Informatics and Manufacturing Intelligence: Innovations and Solutions","I","","","",0
"Hydropower - Practice and Application","1","1","26","9789535101642","","1","2012","","InTech",1
