SEQUENCIA-LINHA,TITULO-DA-LINHA-DE-PESQUISA,FLAG-LINHA-DE-PESQUISA-ATIVA,OBJETIVOS-LINHA-DE-PESQUISA,TITULO-DA-LINHA-DE-PESQUISA-INGLES,OBJETIVOS-LINHA-DE-PESQUISA-INGLES,PESQUISA-E-DESENVOLVIMENTO_Id
"1","Análise da Demanda e do Suprimento de Energia","NAO","","","",0
"2","Fluidodinâmica e Transferência de Calor em Escoamento Multifásico","NAO","","","",0
"3","Modelagem Matemática e Sistemas inteligentes","NAO","","","",0
"4","Pesquisa Fundamental e Métodos Computacionais em Fenômenos de Transporte","NAO","","","",0
"5","Sistemas de Energia Elétrica e Política Energética","NAO","","","",0
"6","Previsão de Séries Temporais","NAO","","","",0
