PARTICIPACAO-EM-PROJETO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADES-DE-PARTICIPACAO-EM-PROJETO_Id
0,"5","ATUAL","","2009","","","007908000003","Faculdade de Engenharia Mecânica","","",0
1,"6","ANTERIOR","","2009","","2010","007908000003","Faculdade de Engenharia Mecânica","","",0
2,"7","ANTERIOR","","2010","","2012","007940000005","Faculdade de Engenharia Elétrica e de Computação da UNICAMP","","",0
3,"8","ANTERIOR","","2000","","2004","007940000005","Faculdade de Engenharia Elétrica e de Computação da UNICAMP","","",0
4,"9","ANTERIOR","","2001","","2001","007940000005","Faculdade de Engenharia Elétrica e de Computação da UNICAMP","","",0
5,"10","ANTERIOR","","2004","","2007","007940000005","Faculdade de Engenharia Elétrica e de Computação da UNICAMP","","",0
6,"12","ANTERIOR","","2007","","2009","007940000005","Faculdade de Engenharia Elétrica e de Computação da UNICAMP","","",0
7,"13","ANTERIOR","","2008","","2012","007940000005","Faculdade de Engenharia Elétrica e de Computação da UNICAMP","","",0
8,"14","ANTERIOR","","2010","","2011","007940000005","Faculdade de Engenharia Elétrica e de Computação da UNICAMP","","",0
9,"15","ANTERIOR","","1999","","2000","007940000005","Faculdade de Engenharia Elétrica e de Computação da UNICAMP","","",0
10,"11","ANTERIOR","","2005","","2006","007940000005","Faculdade de Engenharia Elétrica e de Computação da UNICAMP","","",0
