NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-CONGRESSO_Id
"XV Congresso Brasileiro de Engenharia Mecânica - COBEM'99","","","","Águas de Lindóia","",0
"XXV Simposio Brasileiro de Pesquisa Operacional","","","","Campinas","",1
"Congresso Rio Automação","","","","Rio de Janeiro","",2
"XXIX Simposio Brasileiro de Pesquisa Operacional","","","","Salvador","",3
"VII Congresso Brasileiro de Redes Neurais - CBRN 2005","","","","Natal","",4
"15th Power System Computation Conference - PSCC","","","","BELGICA","",5
"IX SEPOPE - Symposium of Specialists in Electric Operational an Expansion Planning IX SEPOPE - Symposium of Specialists in Electric Operational an Expansion Planning","","","","Rio de Janeiro","",6
"XXVII Simposio Brasileiro de Pesquisa Operacional","","","","Vitoria","",7
"XXXVI SBPO - Simpósio Brasileiro de Pesquisa Operacional","","","","São João Del Rei","",8
"IEEE/PSCE 2004","","","","New York","",9
"IX SEPOPE - Symposium of Specialists in Electric Operational an Expansion Planning","","","","Rio de Janeiro","",10
"XXXI Simpósio Brasileiro de Pesquisa Operacional","","","","Juiz de Fora","",11
"XXXVI SBPO - Simpósio Brasileiro de Pesquisa Operacional","","","","São João Del Rei","",12
"XII Congresso Brasileiro de Redes Neurais","","","","Curitiba","",13
"IEEE - 2002 Summer Meeting","","","","Chicago","",14
"XXV Simposio Brasileiro de Pesquisa Operacional","","","","Campinas","",15
"VII SBAI - Simpósio Brasileiro de Automação Inteligente - II IEEE-LARS - I WTIASP (Wokshop de Técnicas Inteligentes Aplicadas a Sistemas de Potência)","","","","São Luiz","",16
"III SEPOCH - Simpósio de Especialistas em Operação de Centrais Hidrelétricas","","","","Foz do Iguaçu","",17
"XXXVI SBPO - Simpósio Brasileiro de Pesquisa Operacional","","","","São João Del Rei","",18
"XXV Simposio Brasileiro de Pesquisa Operacional","","","","Campinas","",19
"IEEE Power Tech 2005","","","","St. Petersburg","",20
"XIV SNPTEE","","","","Belém","",21
"XVI Simpósio de Pesquisa Operacional & Logística da Marinha - SPOLM 2013","","","","Rio de Janeiro","",22
"IEEE- Conference on Evolutionary Computation 2004","","","","Portland","",23
"Congresso de Inovação Tecnológica em Energia Elétrica (CITENEL)","","","","Belém","",24
"VII CONGRESSO BRASILEIRO DE PLANEJAMENTO ENÉRGETICO ? VII CBPE","","","","São Paulo","",25
"XIV Congresso Brasileiro de Automática","","","","Natal","",26
"XXXI Simpósio Brasileiro de Pesquisa Operacional","","","","Juiz de Fora","",27
