NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-CONGRESSO_Id
"Congresso","","1999","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",0
"Congresso","Um Sistema de Apoio a Decisao para o Planejamento da Operacao de Curto Prazo de Sistemas Hidrotermicos","1993","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",1
"Congresso","Sistema inteligente para monitoramento e detecção de padrões de escoamento bifásico gás-líquido","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",2
"Congresso","Um Banco de Dados para umsistema de Suporte a Decisao para a Programacao de Operacao de Sistemas de Energia Eletrica","1997","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",3
"Congresso","Previsão de Carga a Curto Prazo Usando Método de Agrupamento Nebuloso","2005","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",4
"Congresso","An integrated Dispatch Modelo f Gas Suplí and Thermoelectric Systems","2005","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",5
"Congresso","Natural Gas Transmission for Thermoelectric Generation Problem","2004","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",6
"Congresso","m Modelo de Programacao da Operacao de Sistemas Hidrotermicos com Restricoes de Seguranca","1995","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",7
"Congresso","Modelo de Previsão da Demanda de Carga de Curtíssimo Prazo para o Período da Ponta","2004","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",8
"Congresso","Clustering Bus Load Curves","2004","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",9
"Congresso","Despacho Ótimo de Unidades Geradoras Hidrelétricas","2004","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",10
"Congresso","Uma Metodologia para Cálculo do Spot Price em Sistemas Hidrotérmicos","1999","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",11
"Congresso","Modelo de Despacho Termelétrico Considerando Restrições no Suprimento de Gás Natural","2004","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",12
"Congresso","Aplicacao de Redes Neurais Artificiais para Previsao de Carga no Periodo de Demanda de Ponta","1995","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",13
"Congresso","IEEE - 2002 Summer Meeting","2002","Estados Unidos","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",14
"Congresso","Fluxo de Carga Otimo Linear Parametrico","1993","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",15
"Congresso","Um sistema Especialista Aplicado à Previsão de Carga em Curto Prazo","2005","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",16
"Congresso","Um Critério de Desempenho para o Despacho Ótimo de Unidades Geradoras","2002","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",17
"Congresso","Um Modelo de Fluxo de Potência Ótimo com Reprogramação Corretiva via Método de Pontos Interiores","2004","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",18
"Congresso","Analise de Contigencia Linear de Um Modelo de Pre-Despacho","1993","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",19
"Congresso","Comparison of Two Heuristic Approaches to Hydro Unit Commitment","2005","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",20
"Congresso","Previsao de Carga no Periodo de demanda de ponta Utilizando Variaveis Climaticas","1997","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",21
"Congresso","Resolução do problema de escoamento da soja no Brasil por hub-and-spoke","2013","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","Resolução do problema de escoamento da soja no Brasil por hub-and-spoke","NAO",22
"Congresso","IEEE- Conference on Evolutionary Computation 2004","2004","Estados Unidos","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",23
"Congresso","Otimização do potencial de geração de usinas hidrelétricas","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",24
"Congresso","Otimização da operação diária das usinas do médio são francisco","2010","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",25
"Congresso","hort-term Load Forecasting Forecasting Using a Neurofuzzy","2002","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",26
"Congresso","Despacho Econômico de Sistemas de usinas Hidrelétricas","1999","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",27
