PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"79",0
1,"80",0
2,"81",0
3,"82",0
4,"185",0
5,"194",0
6,"195",0
7,"198",0
8,"201",0
9,"202",0
10,"203",0
11,"223",0
12,"224",0
13,"225",0
14,"226",0
15,"227",0
16,"228",0
17,"229",0
18,"230",0
19,"231",0
20,"232",0
21,"233",0
22,"236",0
23,"237",0
24,"252",0
25,"222",0
