NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id
"Mariella Renata Cumpa Aurich","AURICH, M. R. C.","2","",42,,,,
"C. Dalmazo","Dalmazo, C.","3","",42,,,,
"Carlos M. Nogueira","Nogueira, Carlos M.","4","",42,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","5","4595465071420439",42,,,,
"KADOWAKI, M.","KADOWAKI, M.","1","",43,,,,
"Takaaki Ohishi","Ohishi, T.","2","",43,,,,
"MARTINS, L. S. A.","MARTINS, L. S. A.","3","",43,,,,
"S. Soares","SOARES, S.","4","",43,,,,
"Ricardo Menezes Salgado","SALGADO, Ricardo Menezes","1","",44,,,,
"Ballini, Rosangela","Ballini, Rosangela","2","",44,,,,
"Takaaki Ohishi","Ohishi, Takaaki","3","",44,,,,
"LESCANO, G. A.","LESCANO, G. A.","1","",45,,,,
"AURICH, M. C.","AURICH, M. C.","2","",45,,,,
"Takaaki Ohishi","Ohishi, T.","3","",45,,,,
"J.F. Pereira","Pereira, J.F.","1","",46,,,,
"Ricardo Menezes Salgado","SALGADO, R. M.","2","",46,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","3","4595465071420439",46,,,,
"Rosângela Ballini","BALLINI, Rosângela","4","1766558858445284",46,,,,
"Ricardo Menezes Salgado","SALGADO, R. M.","1","",47,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",47,,,,
"Rosângela Ballini","BALLINI, Rosângela","3","1766558858445284",47,,,,
"Marcos de Almeida Leone Filho","LEONE FILHO, Marcos de Almeida","1","",48,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",48,,,,
"Rosângela Ballini","BALLINI, Rosângela","3","1766558858445284",48,,,,
"SALGADO, R.M.","SALGADO, R.M.","1","",49,,,,
"PEREIRA, J.J.F.","PEREIRA, J.J.F.","2","",49,,,,
"Takaaki Ohishi","Ohishi, T.","3","",49,,,,
"BALLINI, R.","BALLINI, R.","4","",49,,,,
"LIMA, C.A.M.","LIMA, C.A.M.","5","",49,,,,
"VON ZUBEN, F.J.","VON ZUBEN, F.J.","6","",49,,,,
"Erinaldo Farias dos Santos","SANTOS, E. F. DOS","1","",50,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",50,,,,
"Elma Pereira Santos","Santos E.P.","1","",51,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",51,,,,
"Oderson Dias de Mello","MELLO, Oderson Dias de","3","",51,,,,
"J.P.T. Fernandes","Fernandes, J.P.T.","1","",52,,,,
"G.R. Colnago","Colnago, G.R.","2","",52,,,,
"Paulo de Barros Correia","Correia, Paulo de Barros","3","",52,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","4","4595465071420439",52,,,,
"Ricardo Menezes Salgado","SALGADO, R. M.","1","",53,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",53,,,,
"Eugenio Spano Rosa","Eugenio Spano Rosa","3","5295563566350138",53,,,,
"Niederauer Mastelari","Niederauer Mastelari","4","",53,,,,
"Gerardo Miguel Arguto Lescano","LESCANO, G. M. A.","1","",54,,,,
"Mariella Renata C. Aurich","AURICH, M. R. C.","2","",54,,,,
"C. Dalmazo","Dalmazo, C.","3","",54,,,,
"Carlos M. Nogueira","Nogueira, Carlos M.","4","",54,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","5","4595465071420439",54,,,,
"G.R. Colnago","Colnago, G.R.","1","",55,,,,
"Paulo de Barros Correia","Correia, Paulo de Barros","2","",55,,,,
"J.P.F. Estrócio","Estrócio, J.P.F.","3","",55,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","4","4595465071420439",55,,,,
"F.C. Corrêa","Corrêa, F.C.","1","",56,,,,
"Niederauer Mastelari","Niederauer Mastelari","2","",56,,,,
"Ricardo Menezes Salgado","SALGADO, R. M.","3","",56,,,,
"Eugenio Spano Rosa","Eugenio Spano Rosa","4","5295563566350138",56,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","5","4595465071420439",56,,,,
"Gerardo Miguel Arguto Lescano","LESCANO, G. M. A.","1","",57,,,,
"Mariella Renata C. Aurich","AURICH, M. R. C.","2","",57,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","3","4595465071420439",57,,,,
"Sandra Kise Uehara","UEHARA, S. K.","1","",58,,,,
"Leonardo Nepomuceno","NEPOMUCENO, Leonardo","2","2013445187247691",58,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","3","4595465071420439",58,,,,
"Ricardo Menezes Salgado","SALGADO, R. M.","1","",59,,,,
"J.F. Pereira","Pereira, J.F.","2","",59,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","3","4595465071420439",59,,,,
"Rosângela Ballini","BALLINI, Rosângela","4","1766558858445284",59,,,,
"Sandra Kise Uehara","UEHARA, S. K.","1","",60,,,,
"Leonardo Nepomuceno","NEPOMUCENO, Leonardo","2","2013445187247691",60,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","3","4595465071420439",60,,,,
"Ricardo Menezes Salgado","SALGADO, R. M.","1","",61,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",61,,,,
"Rosângela Ballini","BALLINI, Rosângela","3","1766558858445284",61,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",62,,,,
"Gerardo Miguel Arguto Lescano","LESCANO, G. M. A.","2","",62,,,,
"Mariella Renata Cumpa Aurich","AURICH, M. R. C.","3","",62,,,,
"Anastacio Sebastian Arce","ARCE, A. S.","1","",63,,,,
"Erinaldo Farias dos Santos","SANTOS, E. F. DOS","2","",63,,,,
"Marcelo Augusto Cicogna","CICOGNA, Marcelo Augusto","3","",63,,,,
"SECUNDINO SOARES FILHO","SOARES FILHO, Secundino","4","6198721584655627",63,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","5","4595465071420439",63,,,,
"Leonardo Nepomuceno","NEPOMUCENO, Leonardo","1","2013445187247691",64,,,,
"Aurélio Ribeiro Leite de Oliveira","OLIVEIRA, Aurélio Ribeiro Leite de","2","6616948343647001",64,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","3","4595465071420439",64,,,,
"SECUNDINO SOARES FILHO","SOARES FILHO, Secundino","4","6198721584655627",64,,,,
"Makoto Kadowaki","KADOWAKI, Makoto","1","",65,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",65,,,,
"SECUNDINO SOARES FILHO","SOARES FILHO, Secundino","3","6198721584655627",65,,,,
"Rosângela Ballini","BALLINI, Rosângela","4","1766558858445284",65,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",66,,,,
"W. S. Lima","LIMA, W. S.","2","",66,,,,
"Elma Pereira Santos","Santos E.P.","1","",67,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",67,,,,
"Oderson Dias de Mello","MELLO, Oderson Dias de","3","",67,,,,
"Ricardo Menezes Salgado","SALGADO, Ricardo Menezes","1","",68,,,,
"Ballini, Rosangela","Ballini, Rosangela","2","",68,,,,
"Takaaki Ohishi","Ohishi, Takaaki","3","",68,,,,
"José Leite Silva Júnior","Silva Júnior, J.L.","1","",69,,,,
"ANA CALUDIA VASCONCELOS SOARES BULCAO","BULCAO, A. C. V. S.","2","",69,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","3","4595465071420439",69,,,,
"Makoto Kadowaki","KADOWAKI, Makoto","1","",70,,,,
"Anibal Tavares Azevedo","Azevedo, Anibal Tavares","2","",70,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","3","4595465071420439",70,,,,
"SECUNDINO SOARES FILHO","SOARES FILHO, Secundino","4","6198721584655627",70,,,,
"Sandra Kise Uehara","UEHARA, S. K.","1","",71,,,,
"Leonardo Nepomuceno","NEPOMUCENO, Leonardo","2","2013445187247691",71,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","3","4595465071420439",71,,,,
"Rosângela Ballini","BALLINI, Rosângela","1","1766558858445284",72,,,,
"Ricardo Menezes Salgado","SALGADO, R. M.","2","",72,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","3","4595465071420439",72,,,,
"Mamadou Ndiaye","NDIAYE, M.","1","",73,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",73,,,,
"Max Olinto Moreira","Moreira, Max Olinto","1","",74,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",74,,,,
"Ricardo Menezes Salgado","SALGADO, R. M.","3","",74,,,,
"Eric Batista Ferreira","Ferreira, E.B.","4","",74,,,,
"Carlos Ruesta","Ruesta, C.","1","",75,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",75,,,,
"Jose Raimundo de Oliveira","Oliveira, J.R.","3","",75,,,,
"Ricardo Menezes Salgado","SALGADO, R. M.","1","",76,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",76,,,,
"Rosângela Ballini","BALLINI, Rosângela","3","1766558858445284",76,,,,
"FUJISAWA, CASSIO H.","FUJISAWA, CASSIO H.","1","",77,,,,
"CARVALHO, MARCIUS F.","CARVALHO, MARCIUS F.","2","",77,,,,
"AZEVEDO, ANIBAL T.","AZEVEDO, ANIBAL T.","3","",77,,,,
"Secundino Soares","SOARES, Secundino","4","6198721584655627",77,,,,
"SANTOS, ELMA P.","SANTOS, ELMA P.","5","",77,,,,
"Takaaki Ohishi","Ohishi, Takaaki","6","",77,,,,
"CARVALHO, MARCIUS F.","CARVALHO, MARCIUS F.","1","",78,,,,
"S. Soares","SOARES, S.","2","",78,,,,
"FUJISAWA, CASSIO H.","FUJISAWA, CASSIO H.","3","",78,,,,
"AZEVEDO, ANIBAL T.","AZEVEDO, ANIBAL T.","4","",78,,,,
"SANTOS, ELMA P.","SANTOS, ELMA P.","5","",78,,,,
"Takaaki Ohishi","Ohishi, T.","6","",78,,,,
"FUJISAWA, CASSIO H.","FUJISAWA, CASSIO H.","1","",79,,,,
"M. F. CArvalho","CARVALHO, M. F.","2","5886534352701508",79,,,,
"AZEVEDO, ANIBAL T.","AZEVEDO, ANIBAL T.","3","",79,,,,
"Elma Pereira Santos","Santos E.P.","4","",79,,,,
"S. Soares","SOARES, S.","5","",79,,,,
"Takaaki Ohishi","Ohishi, T.","6","",79,,,,
"FUJISAWA, CASSIO H.","FUJISAWA, CASSIO H.","1","",80,,,,
"M. F. CArvalho","CARVALHO, M. F.","2","5886534352701508",80,,,,
"AZEVEDO, ANIBAL T.","AZEVEDO, ANIBAL T.","3","",80,,,,
"SANTOS, ELMA P.","SANTOS, ELMA P.","4","",80,,,,
"S. Soares","SOARES, S.","5","",80,,,,
"Takaaki Ohishi","Ohishi, T.","6","",80,,,,
"M. F. CArvalho","CARVALHO, M. F.","1","5886534352701508",81,,,,
"S. Soares","SOARES, S.","2","",81,,,,
"FUJISAWA, CASSIO H.","FUJISAWA, CASSIO H.","3","",81,,,,
"Anibal Tavares Azevedo","Azevedo, Anibal Tavares","4","",81,,,,
"Elma Pereira Santos","Santos E.P.","5","",81,,,,
"Takaaki Ohishi","Ohishi, T.","6","",81,,,,
"S. Soares","SOARES, S.","1","",82,,,,
"IEDA GERIBERTO HIDALGO","HIDALGO, I. G.","2","1913450752136533",82,,,,
"Makoto Kadowaki","KADOWAKI, Makoto","3","",82,,,,
"André Emilio Toscano","TOSCANO, A. E.","4","",82,,,,
"Takaaki Ohishi","Ohishi, T.","5","",82,,,,
"João Paulo Fernandes Estrócio","ESTROCIO, J. P. F.","6","",82,,,,
"João Eduardo Gonçalves Lopes","LOPES, J. E. G.","7","",82,,,,
"BALLINI, R.","BALLINI, R.","8","",82,,,,
"José Leite da Silva Junior","SILVA JUNIOR, J. L.","1","",83,,,,
"Takaaki Ohishi","Ohishi, T.","2","",83,,,,
"W. S. Lima","LIMA, W. S.","1","",84,,,,
"KADOWAKI, M.","KADOWAKI, M.","2","",84,,,,
"Takaaki Ohishi","OHISHI, T.","3","",84,,,,
"W. S. Lima","LIMA, W. S.","1","",85,,,,
"Takaaki Ohishi","Ohishi, T.","2","",85,,,,
"KADOWAKI, M.","KADOWAKI, M.","3","",85,,,,
"Wagner da Silva Lima","LIMA, Wagner da Silva","1","",86,,,,
"Takaaki Ohishi","OHISHI, T.","2","",86,,,,
"W. S. Lima","LIMA, W. S.","1","",87,,,,
"Takaaki Ohishi","OHISHI, T.","2","",87,,,,
"W. S. Lima","LIMA, W. S.","1","",88,,,,
"KADOWAKI, M.","KADOWAKI, M.","2","",88,,,,
"Takaaki Ohishi","OHISHI, T.","3","",88,,,,
"W. S. Lima","LIMA, W. S.","1","",89,,,,
"Leandro Nunes de CASTRO","CASTRO, L. N.","2","",89,,,,
"Takaaki Ohishi","OHISHI, T.","3","",89,,,,
"MOREIRA, F.S.","MOREIRA, F.S.","1","",90,,,,
"Takaaki Ohishi","Ohishi, T.","2","",90,,,,
"DA SILVA FILHO, J.I.","DA SILVA FILHO, J.I.","3","",90,,,,
"Oderson De Mello Dias","DIAS, O. DE M.","1","",91,,,,
"Takaaki Ohishi","OHISHI, T.","2","",91,,,,
"Oderson De Mello Dias","DIAS, O. DE M.","1","",92,,,,
"Takaaki Ohishi","OHISHI, T.","2","",92,,,,
"Sonia Angelina Modesto","MODESTO, S. A.","1","",93,,,,
"Takaaki Ohishi","OHISHI, T.","2","",93,,,,
"Anastacio Sebastian Arce","ARCE, A. S.","1","",94,,,,
"Erinaldo Farias dos Santos","SANTOS, E. F. DOS","2","",94,,,,
"Marcelo Augusto Cicogna","CICOGNA, Marcelo Augusto","3","",94,,,,
"S. Soares","SOARES, S.","4","",94,,,,
"Takaaki Ohishi","OHISHI, T.","5","",94,,,,
"Erinaldo Farias dos Santos","SANTOS, E. F. DOS","1","",95,,,,
"Anastacio Sebastian Arce","ARCE, A. S.","2","",95,,,,
"Takaaki Ohishi","OHISHI, T.","3","",95,,,,
"S. Soares","SOARES, S.","4","",95,,,,
"Ana Paula Milanez","MILANEZ, A. P.","1","",96,,,,
"AZEVEDO, ANIBAL T.","AZEVEDO, ANIBAL T.","2","",96,,,,
"ANDREA LEDA RAMOS DE OLIVEIRA","OLIVEIRA, A. L. R.","3","3327673910047431",96,,,,
"Takaaki Ohishi","Ohishi, Takaaki","4","",96,,,,
"Ana Paula Milanez","MILANEZ, A. P.","1","",97,,,,
"AZEVEDO, ANIBAL T.","AZEVEDO, ANIBAL T.","2","",97,,,,
"ANDREA LEDA RAMOS DE OLIVEIRA","OLIVEIRA, A. L. R.","3","3327673910047431",97,,,,
"Takaaki Ohishi","OHISHI, T.","4","",97,,,,
"Ana Paula Milanez","MILANEZ, A. P.","1","",98,,,,
"AZEVEDO, ANIBAL T.","AZEVEDO, ANIBAL T.","2","",98,,,,
"ANDREA LEDA RAMOS DE OLIVEIRA","OLIVEIRA, A. L. R.","3","3327673910047431",98,,,,
"Takaaki Ohishi","OHISHI, T.","4","",98,,,,
"Mateus Neves Barreto","BARRETO, M. N.","1","",99,,,,
"Takaaki Ohishi","OHISHI, T.","2","",99,,,,
"SALGADO, R.M.","SALGADO, R.M.","3","",99,,,,
"Luis C. A. Simões","SIMOES, L. C. A.","4","",99,,,,
"Ana Paula Diniz Marques","MARQUES, A. P. D.","1","",100,,,,
"Takaaki Ohishi","OHISHI, T.","2","",100,,,,
"Catarina Junqueira","JUNQUEIRA, C.","1","",101,,,,
"Anibal Tavares Azevedo","AZEVEDO, A. T.","2","",101,,,,
"Takaaki Ohishi","OHISHI, T.","3","",101,,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",102,,,,
"Leonardo Nepomuceno","NEPOMUCENO, Leonardo","2","2013445187247691",102,,,,
"SECUNDINO SOARES FILHO","SOARES FILHO, Secundino","3","6198721584655627",102,,,,
"F. MARCIUS FABIUS","FABIUS, F. M.","1","",,0,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",,0,,,
"Secundino Soares","SOARES, Secundino","3","6198721584655627",,0,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",,1,,,
"S. Soares","SOARES, S.","2","",,1,,,
"M. F. CArvalho","CARVALHO, M. F.","3","5886534352701508",,1,,,
"S. Soares","SOARES, S.","1","",,2,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",,2,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",,3,,,
"Leonardo Nepomuceno","NEPOMUCENO, Leonardo","2","2013445187247691",,3,,,
"SECUNDINO SOARES FILHO","SOARES FILHO, Secundino","3","6198721584655627",,3,,,
"Leonardo Nepomuceno","NEPOMUCENO, Leonardo","1","2013445187247691",,4,,,
"SECUNDINO SOARES FILHO","SOARES FILHO, Secundino","2","6198721584655627",,4,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","3","4595465071420439",,4,,,
"Anastacio Sebastian Arce","ARCE, A. S.","1","",,5,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",,5,,,
"SECUNDINO SOARES FILHO","SOARES FILHO, Secundino","2","6198721584655627",,5,,,
"Marcelo Augusto Cicogna","CICOGNA, Marcelo Augusto","4","",,5,,,
"Eugenio Spano Rosa","Eugenio Spano Rosa","1","5295563566350138",,6,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",,6,,,
"Ricardo Menezes Salgado","SALGADO, Ricardo Menezes","2","",,6,,,
"Niederauer Mastelari","Niederauer Mastelari","4","",,6,,,
"Fernanda Cristina Corrêa","Fernanda Cristina Corrêa","1","1495216809511536",,7,,,
"Niederauer Mastelari","Niederauer Mastelari","2","",,7,,,
"Ricardo Menezes Salgado","SALGADO, Ricardo Menezes","3","",,7,,,
"Eugenio Spano Rosa","Eugenio Spano Rosa","4","5295563566350138",,7,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","5","4595465071420439",,7,,,
"OLINTO MOREIRA, MAX","OLINTO MOREIRA, MAX","1","",,8,,,
