NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Secundino Soares","SOARES, Secundino","4","6198721584655627",0,,
"Vinícius Amaral Armentano","ARMENTANO, V. A.","1","",0,,
"Roberto Diégues Galvão","GALVAO, R. D.","2","",0,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","3","4595465071420439",0,,
"Secundino Soares","SOARES, Secundino","1","6198721584655627",1,,
"Marinho Gomes de Andrade Filho","ANDRADE FILHO, Marinho Gomes de","2","",1,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","3","4595465071420439",1,,
"Secundino Soares","SOARES, Secundino","1","6198721584655627",2,,
"Marcelo Augusto Cicogna","CICOGNA, Marcelo Augusto","3","",2,,
"Adriano Alber de França Mendes Carneiro","CARNEIRO, A. A. F. M.","2","",2,,
"Fernando José Von Zuben","Von Zuben, Fernando José","4","",2,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","5","4595465071420439",2,,
"Secundino Soares","SOARES, Secundino","1","6198721584655627",3,,
"Paulo Sérgio Franco Barbosa","BARBOSA, P. S. F.","2","",3,,
"Vivaldo Fernando da Costa","COSTA, V. F.","4","",3,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","3","4595465071420439",3,,
"Takaaki Ohishi","Ohishi, T.","2","",4,,
"Leonardo Nepomuceno","NEPOMUCENO, Leonardo","1","2013445187247691",4,,
"Takaaki Ohishi","Ohishi, T.","4","",5,,
"SECUNDINO SOARES FILHO","SOARES FILHO, Secundino","1","6198721584655627",5,,
"Anastacio Sebastian Arce Encina","ENCINA, A. S. A.","3","",5,,
"MONICA DE SOUZA ZAMBELLI","ZAMBELLI, M. S.","2","",5,,
"Takaaki Ohishi","Ohishi, T.","3","",6,,
"Paulo de Barros Correia","Correia, Paulo de Barros","1","",6,,
"JOAQUIM EUGENIO ABEL SEABRA","SEABRA, J. E. A.","2","",6,,
"Takaaki Ohishi","Ohishi, T.","3","",7,,
"Paulo de Barros Correia","Correia, Paulo de Barros","1","",7,,
"SERGIO VALDIR BAJAY","BAJAY, S. V.","2","",7,,
