NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Mestrado","ACADEMICO","Busca Tabu Aplicada ao Problema de Localização de Facilidades com Restrições de Capacidade e Fonte Única","2007","Brasil","Português","","","",0
"Mestrado","ACADEMICO","Comparação entre Programação Dinâmica Estocástica Primal e Dual no Planejamento da Operação Energética.","2003","Brasil","Português","","","",1
"Mestrado","ACADEMICO","Estratégias Evolutivas no Planejamento Energético da Operação de Sistemas Hidrotérmicos de Potência","2005","Brasil","Português","","","",2
"Mestrado","ACADEMICO","Planejamento Da Operação Energética Baseado em Curvas-Guias de Armazenamento","2006","Brasil","Português","","","",3
"Mestrado","ACADEMICO","Um Modelo de Pré-Despacho para o Ambiente dos Novos Mercados de Energia","2010","Brasil","Português","","","",4
"Mestrado","ACADEMICO","Benefícios Associados à Operação Coordenada do Sistema Interligado Nacional Junto com as Usinas Binacionais de Corpus Yacyretá","2012","Brasil","Português","","","",5
"Mestrado","ACADEMICO","Pré-Despacho de Usinas Hidrelétricas: Implementação com Algoritmos Genéticos","2011","Brasil","Português","","","",6
"Mestrado","ACADEMICO","Metodologia e Simulação de Leilão Simultâneo-Combinatório para Novos Empreendimentos de Geração de Energia Elétrica","2011","Brasil","Português","","","",7
"Mestrado","ACADEMICO","Um Modelo de Previsão de Carga Por Barramento","2004","Brasil","Português","","","",8
"Mestrado","ACADEMICO","Analise e especificação de um sistema de apoio a decisão para planejamento da operação de curto prazo de sistemas hidrotermicos","1993","Brasil","Português","","","",9
"Mestrado","ACADEMICO","Despacho economico em usinas hidreletricas","2003","Brasil","Português","","","",10
"Mestrado","ACADEMICO","Um modelo de fluxo de potencia otimo linear com reprogramação corretiva via metodo de pontos interiores","2004","Brasil","Português","","","",11
"Mestrado","ACADEMICO","Uma metodologia para o calculo do spot price em sistemas hidrotermicos","1999","Brasil","Português","","","",12
"Mestrado","ACADEMICO","Previsão de carga no periodo de demanda de ponta utilizando redes neurais artificiais","1996","Brasil","Português","","","",13
"Mestrado","ACADEMICO","Um modelo de despacho economico para reservas operativas","2004","Brasil","Português","","","",14
"Mestrado","ACADEMICO","Uma metodologia de calculo do spot price com restrições de segurança","2002","Brasil","Português","","","",15
"Mestrado","ACADEMICO","Uma ferramenta de programação visual para previsão e reconhecimento de padrões","2007","Brasil","Português","","","",16
"Mestrado","ACADEMICO","Despacho integrado da geração termeletrica e da produção e transporte de gas natural com metodo de Newton","2009","Brasil","Português","","","",17
"Mestrado","ACADEMICO","Um modelo de pre-despacho com gerenciamento de congestionamento no sistema de transmissão","2003","Brasil","Português","","","",18
"Mestrado","ACADEMICO","Previsão de carga de curto prazo usando ensembles de previsores selecionados e evoluidos por algoritmos geneticos","2006","Brasil","Português","","","",19
"Mestrado","ACADEMICO","Um modelo de pre-despacho em usinas hidreletricas usando algoritmos geneticos","2001","Brasil","Português","","","",20
"Mestrado","ACADEMICO","Um modelo de pre-despacho com margem de estabilidade de tensão","2001","Brasil","Português","","","",21
"Mestrado","ACADEMICO","Detecção e otimização da produção bruta de óleo em poços com elevação artificial gli","2012","Brasil","Português","","","",22
"Mestrado","ACADEMICO","Algoritmo para resolução do problema de fluxo multiproduto fuzzy","2009","Brasil","Português","","","",23
"Mestrado","ACADEMICO","Modelagem Inteligente para Análise de Séries de Vazões Afluentes","2016","Brasil","Português","","","",24
"Mestrado","ACADEMICO","Planejamento da operação de curto prazo de sistemas hidrotermicos com restrições de segurança","1996","Brasil","Português","","","",25
