PARTICIPACAO-EM-CONGRESSO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"166",0
1,"174",0
2,"158",0
3,"170",0
4,"159",0
5,"152",0
6,"154",0
7,"171",0
8,"161",0
9,"151",0
10,"155",0
11,"168",0
12,"163",0
13,"172",0
14,"56",0
15,"175",0
16,"160",0
17,"164",0
18,"162",0
19,"173",0
20,"153",0
21,"169",0
22,"239",0
23,"54",0
24,"157",0
25,"156",0
26,"165",0
27,"167",0
