CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"NAO_INFORMADO","II Congresso Brasileiro de Redes Neurais","Curitiba","1995","","1","1","","247","253","","","Curitiba - PR","",0
"NAO_INFORMADO","XXVII Simpósio Brasileiro de Pesquisa Operacional","","","","1","1","","","","","","Vitória - ES","",1
"NAO_INFORMADO","XIV Seminário Nacional de Produção e Transmissão de Energia Elétrica","","","","1","1","","","","","","Belém-PA","",2
"NAO_INFORMADO","XXIX Simpósio Brasileiro de Pesquisa Operacional","","","XXIX Simpósio Brasileiro de Pesquisa Operacional","1","1","","","","","","Salvador - BA","",3
"INTERNACIONAL","EPSOM'98 Int.Conf. on Electrical Power Systems Operat. and Management","Zurich","1998","","","","","","","","","","",4
"NAO_INFORMADO","XV Congresso Brasileiro de Engenharia Mecânica","Águas de Lindóia","1999","","CD","","","20","25","","","","",5
"NAO_INFORMADO","XXXI Simpósio Brasileiro de Pesquisa Operacional","Juiz de Fora - MG","1999","","CD","","","1312","1320","","","","",6
"NAO_INFORMADO","XXXI Simpósio Brasileiro de Pesquisa Operacional","Juiz de Fora - MG","1999","","CD","","","1321","1335","","","","",7
"NAO_INFORMADO","XV Seminário de Produção e Transmissão de Energia Elétrica","Foz do Iguaçu - PR","1999","","CD","","","2","6","","","","",8
"NAO_INFORMADO","XII CBA - Congresso Brasileiro de Automática","Uberlândia - MG","1998","","VI","","","2011","2016","","","","",9
"NAO_INFORMADO","XIV SNPTEE","Belém - PA","1997","","","","","","","","","","",10
"NAO_INFORMADO","XXVII Simpósio Brasileiro de Pesquisa Operacional","Vitória - ES","1995","","","","","","","","","","",11
"NAO_INFORMADO","10o.congresso Brasileiro de Automática","Rio de Janeiro - RJ","1994","","","","","","","","","","",12
"NAO_INFORMADO","XXV Simpósio Brasileiro de Pesquisa Operacional","Campinas - SP","1993","","","","","","","","","","",13
