TRABALHO-EM-EVENTOS_Id,SEQUENCIA-PRODUCAO,TRABALHOS-EM-EVENTOS_Id
0,"12",0
1,"13",0
2,"14",0
3,"15",0
4,"19",0
5,"20",0
6,"21",0
7,"22",0
8,"23",0
9,"24",0
10,"25",0
11,"26",0
12,"27",0
13,"28",0
14,"29",0
15,"30",0
16,"36",0
17,"37",0
18,"39",0
19,"44",0
20,"45",0
21,"46",0
22,"50",0
23,"67",0
24,"70",0
25,"71",0
26,"72",0
27,"73",0
28,"74",0
29,"77",0
30,"86",0
31,"87",0
32,"88",0
33,"89",0
34,"90",0
35,"91",0
36,"92",0
37,"93",0
38,"100",0
39,"101",0
40,"102",0
41,"103",0
42,"104",0
43,"105",0
44,"106",0
45,"107",0
46,"108",0
47,"110",0
48,"111",0
49,"112",0
50,"115",0
51,"116",0
52,"117",0
53,"118",0
54,"119",0
55,"120",0
56,"121",0
57,"122",0
58,"123",0
59,"124",0
60,"125",0
61,"126",0
62,"127",0
63,"129",0
64,"130",0
65,"131",0
66,"132",0
67,"133",0
68,"134",0
69,"135",0
70,"136",0
71,"137",0
72,"138",0
73,"140",0
74,"141",0
75,"142",0
76,"143",0
77,"148",0
78,"149",0
79,"150",0
80,"186",0
81,"187",0
82,"188",0
83,"189",0
84,"204",0
85,"205",0
86,"209",0
87,"210",0
88,"211",0
89,"212",0
90,"213",0
91,"215",0
92,"216",0
93,"219",0
94,"220",0
95,"221",0
96,"238",0
97,"241",0
98,"242",0
99,"243",0
100,"249",0
101,"261",0
102,"40",0
