IDIOMA,DESCRICAO-DO-IDIOMA,PROFICIENCIA-DE-LEITURA,PROFICIENCIA-DE-FALA,PROFICIENCIA-DE-ESCRITA,PROFICIENCIA-DE-COMPREENSAO,IDIOMAS_Id
"EN","Inglês","BEM","BEM","BEM","NAO_INFORMADO",0
"ES","Espanhol","POUCO","BEM","POUCO","NAO_INFORMADO",0
