TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id
"IEEE Transactions on Power Systems","08858950","3","4","4","1640","1647","USA",0,
"IEEE Transactions on Power Systems","08858950","6","2","2","637","643","EUA",1,
"IEE Proc-C","","142","6","","569","575","Inglaterra",2,
"SBA Controle e Automação","","11","","","169","175","",3,
"International Journal of Computer Research","15356698","12","1","","89","99","",4,
"International Journal of Emerging Electric Power Systems","1553779X","9","","4","1","7","",5,
"International Journal of Multiphase Flow","03019322","36","","9","738","754","",6,
"Petro & Química","01015397","318","","","60","64","",7,
"GEINTEC - Gestão, Inovação e Tecnologias","22370722","1","","2","20","31","",8,
"International Journal of Computer Information Systems and Industrial Management Applications","21507988","3","","2011","336","346","",9,
"Revista de Ciências Gerenciais","14156571","17","","25","47","60","",10,
"Revista IEEE América Latina","15480992","14","","10","4279","4286","",11,
"Espacios (Caracas)","07981015","37","","35","22","","",12,
"International Journal of Current Research","0975833X","8 n.7","","n.7","34885","34893","",13,
"IEEE Transactions on Power Systems","08858950","17","","1","154","158","Estados Unidos",14,
"IEEE Latin America Transactions","15480992","","","","","","",,0
