NATUREZA,TITULO-DO-SOFTWARE,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-SOFTWARE-INGLES,FLAG-DIVULGACAO-CIENTIFICA,FLAG-POTENCIAL-INOVACAO,SOFTWARE_Id
"COMPUTACIONAL","Despacho ótimo de máquinas do Sistema do rio Paranapanema","2001","Brasil","Português","MEIO_MAGNETICO","","SIM","","","NAO","NAO",0
"COMPUTACIONAL","Um programa para orevisão de carga da ELETROPAULO","2001","Brasil","Português","MEIO_MAGNETICO","","SIM","","","NAO","NAO",1
"NAO_INFORMADO","PrevCEL - Previsor de Demanda de Carga Elétrica da Eletropaulo","2001","Brasil","","NAO_INFORMADO","","NAO","","","NAO","NAO",2
"NAO_INFORMADO","PreviCarga - Previsor de Demandas de Carga Elétrica","1999","Brasil","","NAO_INFORMADO","","NAO","","","NAO","NAO",3
"NAO_INFORMADO","GASGETE: GÁS para GEração TErmelétrica","2005","Brasil","","NAO_INFORMADO","","NAO","","","NAO","NAO",4
"NAO_INFORMADO","Protótipo Funcional para o Planejamento da Operação em Usinas Hidrelétricas","2001","Brasil","","NAO_INFORMADO","","NAO","","","NAO","NAO",5
"NAO_INFORMADO","HydroDesp - Programa de Pré-Despacho Econômico","2003","Brasil","","NAO_INFORMADO","","NAO","","","NAO","NAO",6
