SITUACAO,TITULO,ANO_DO_ARTIGO
COMPLETO,Are We Prepared for Simulation Based Studies in Software Engineering Yet?,2013
COMPLETO,Simulation Based Studies in Software Engineering: A Matter of Validity,2015
COMPLETO,Evaluation of simulation-assisted value stream mapping for software product development: Two industrial cases,2015
COMPLETO,Experimentation with dynamic simulation models in software engineering: planning and reporting guidelines,2016
