TITULO-DO-JORNAL-OU-REVISTA,ISSN,DATA-DE-PUBLICACAO,VOLUME,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,TEXTO-EM-JORNAL-OU-REVISTA_Id
"IACM Expressions","","15061999","7","22","25","Barcelona",0
"MultiCiência - A linguagem da Ciência","","04052005","","","","",1
"Boletim da SBMAC - Sociedade Brasileira de Matemática Aplicada e Computacional","","","","","","",2
