SEQUENCIA-AREA-DE-ATUACAO,NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DE-ATUACAO_Id
"1","ENGENHARIAS","Engenharia de Minas","elementos finitos","",0
"2","ENGENHARIAS","Engenharia Mecânica","Fenômenos de Transporte","Princípios Variacionais e Métodos Numéricos",0
"3","CIENCIAS_EXATAS_E_DA_TERRA","Matemática","adaptividade","",0
"4","ENGENHARIAS","Engenharia Civil","Orientação a objetos","",0
