NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-CONGRESSO_Id
"VI World Congress on Computational Mechanics","","","","Beijing","",0
"XXVI Congresso Ibero Latino Americano de Métodos Computacionais para Engenharia","","","","Guarapari","",1
"CNMAC 2010 - XXXIII CONGRESSO NACIONAL DE MATEMÁTICA APLICADA E COMPUTACIONAL","","","","Águas de Lindóia","",2
"","","","University of Texas at Arlington","Texas","",3
"XXXII Cilamce - Iberian Latin Amercian Congress on Computational Methods in Engineering","","","","Ouro Preto","",4
"1st. Pan-American Congress on Computational Mechanics","","","","Buenos Aires","",5
"","","","","Antebes","",6
"XXXV CILAMCE - Congresso Ibero Latino Americano de Métodos Computacionais em Engenharia","","","","Fortaleza","",7
"11th. WCCM - World Congress on Computational Mechanics","","","","Barcelona","",8
"USNCCM X - 1Oth US National Congress on Computacional Mechanics","","","","Columbus, Ohio","",9
"XV Congresso Brasileiro de Engenharia Mecânica","","","","Águas de Lindóia","",10
"XXIX CILAMCE - Congresso Ibero Latino-Americano sobre Métodos Computacionais em Engenhartia","","","","Maceió","",11
"X Congresso Interno de Iniciação Científica da Unicamp","","Universidade Estadual de Campinas","Universidade Estadual de Campinas","Campinas","",12
"XV Congresso Ibero Latino-Americano sobre Métodos Computacionais para Engenharia / Simpósio Mineiro de Mecânica Computacional","","","","Belo Horizonte","",13
"3rd Brazil - China Conference on Scientific Computing","","","","Rio de Janeiro","",14
"XXVI Congresso Ibero Latino Americano de Métodos Computacionais para Engenharia","","","","Guarapari","",15
"XXIX CILAMCE - Congresso Ibero Latino-Americano sobre Métodos Computacionais em Engenhartia","","","","Maceió","",16
"XXVI Congresso Ibero Latino Americano de Métodos Computacionais para Engenharia","","","","Guarapari","",17
"Civil-Comp Press - IX International Conference on Civil and Structural Engineering Computing","","","Egmond-aan-Zee","Egmond-aan-Zee","",18
"IX Congresso Interno de Iniciação Científica da Unicamp","","Universidade Estadual de Campinas","Universidade Estadual de Campinas","Campinas","",19
"X Congresso Interno de Iniciação Científica da Unicamp","","Universidade Estadual de Campinas","Universidade Estadual de Campinas","Campinas","",20
"10th WORLD CONGRESS ON COMPUTATIONAL MECHANICS","","","","São Paulo","",21
"XXXIV CILAMCE - Congresso Ibero Latino Americano de Métodos Computacionais em Engenharia","","","","Pirenópolis","",22
"V World Congress on Computational Mechanics","","","Austria","Vienna","",23
"","","","Universidade Federal do Mato Grosso","Cuiabá, MT","",24
"","","","","Florianópolis","",25
"VIII Congresso Interno de Iniciação Científica da Unicamp","","Universidade Estadual de Campinas","Universidade Estadual de Campinas","Campinas","",26
"XXII Congresso Nacional de Matemática Aplicada e Computacional","","","","Santos","",27
"II International Conference on Computational Modeling and Simulation for the Petroleum Industry","","","","Porto de Galinhas, Ipojuca, PE","",28
"XIV CNMAC","","","","Nova Friburgo, RJ","",29
"","","","","Córdoba","",30
"","","","","Budapest","",31
"Civil-Comp Press - IX International Conference on Civil and Structural Engineering Computing","","","Egmond-aan-Zee","Egmond-aan-Zee","",32
"","","","","Rio de Janeiro","",33
"","","","","Atenas","",34
"XXX CILAMCE","","","","Armação dos Búzios -","",35
"XXI Congresso Ibero Latino Americano de Métodos Computacionais para Engenharia","","","","Rio de Janeiro","",36
"","","","","Stuttgart","",37
"10th WORLD CONGRESS ON COMPUTATIONAL MECHANICS","","","","São Paulo","",38
"","","","","Curitiba, PR","",39
"XX Congresso Ibero Latino Americano de Métodos Computacionais para Engenharia","","","","São Paulo","",40
"","","","","Bruxelas","",41
"XX Congresso Ibero Latino Americano de Métodos Computacionais para Engenharia","","","","São Paulo","",42
"","","","","Ouro Preto, MG","",43
"XXIV Congresso Ibero Latino Americano de Métodos Computacionais para Engenharia e II Congresso Brasileiro de Mecânica Computacional","","","Ouro Preto","Ouro Preto","",44
"","","","","Curitiba, PR","",45
"XXV Congresso Ibero Latino Americano de Métodos Computacionais para Engenharia e II Congresso Brasileiro de Mecânica Computacional","","","","Recife","",46
"","","","","Sintra","",47
"IX Congresso Interno de Iniciação Científica da Unicamp","","Universidade Estadual de Campinas","Universidade Estadual de Campinas","Campinas","",48
"XXII Congresso Ibero Latino Americano de Métodos Computacionais para Engenharia","","","","Campinas","",49
"II Congresso Brasileiro de Mecânica Computacional","","","","Campinas","",50
"XXXI CILAMCE - Congresso Ibero Latino-Americano sobre Métodos Computacionais em Engenharia","","","","Buenos Aires","",51
"","","","","Concepcíon","",52
"XXVI Congresso Ibero Latino Americano de Métodos Computacionais para Engenharia","","","","Guarapari","",53
"","","","","Rio de Janeiro","",54
"12th World Congress on Computational Mechanics","","","","Seoul","",55
"SIAM 1983","","","","Norfolk, Virgínia","",56
"","","","","Paraná, Santa Fé","",57
"","","","","Sunriver, Oregon","",58
"PARENG 2011 - Civil-Comp Press","","","","Ajaccio","",59
"II Second International Conference on Computational Structures Technology","","","","Atenas","",60
"XXVIII CMNE/CILAMCE - Congresso Ibero Latino-Americano sobre Métodos Computacionais em Engenhartia","","","","Porto","",61
"XII Congresso Interno de Iniciação Científica da Unicamp","","Universidade Estadual de Campinas","Universidade Estadual de Campinas","Campinas","",62
"I South American Congress on Computational Mechanics","","","Argentina","Santa Fé - Parana","",63
"XXVI Congresso Ibero Latino Americano de Métodos Computacionais para Engenharia","","","","Guarapari","",64
"SPE Hydraulic Fracturing Tecnology Conference","","","","The Woodlands","",65
"XXIV Congresso Ibero Latino Americano de Métodos Computacionais para Engenharia e II Congresso Brasileiro de Mecânica Computacional","","","Ouro Preto","Ouro Preto","",66
"","","","","Rio de Janeiro","",67
"First South American Congress on Computational Mechanics","","INTEC","Hotel Mayorazgo","Paraná","",68
"EBMEC : Encontro em Balística e Mecânica Computacional","","Instituto de pesquisa da Marinha","Instituto de pesquisa da Marinha","Rio de Janeiro","",69
"XXV Congresso Ibero Latino Americano de Métodos Computacionais para Engenharia","","","","Recife","",70
"","","","","Nova Friburgo, RJ","",71
"XXV Congresso Ibero Latino Americano de Métodos Computacionais para Engenharia e II Congresso Brasileiro de Mecânica Computacional","","","","Recife","",72
"XIV Congresso Ibero Latino Americano de Métodos Computacionais para Engenharia e II Congresso Brasileiro de Mecânica Computacional","","","Ouro Preto","Ouro Preto","",73
"X Congresso Interno de Iniciação Científica da Unicamp","","Universidade Estadual de Campinas","Universidade Estadual de Campinas","Campinas","",74
"VIII U.S. National Congess on Computational Mechanics","","","Texas","Austin","",75
