TIPO,NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,TIPO-INGLES,OUTRAS-BANCAS-JULGADORAS_Id
"","Outra","Seleção de bolsistas de Iniciação Científica do PIBIC/CNPq e bolsas-pesquisa do SAE","2002","Brasil","Português","","","","",0
"","Outra","Concurso para Professor Assistente Doutor","1999","Brasil","Português","","","","",1
"","Outra","Concurso para Professor Doutor","2006","Brasil","Português","","","","",2
"","Outra","Exame de Qualificação de Mestrado","2010","Brasil","Português","","","","",3
"","Outra","Exame de Qualificação de Mestrado","2010","Brasil","Português","","","","",4
"","Outra","Defesa de tese para Doutorado","2008","Brasil","Português","","","","",5
