NATUREZA,TITULO-DO-SOFTWARE,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-SOFTWARE-INGLES,FLAG-DIVULGACAO-CIENTIFICA,FLAG-POTENCIAL-INOVACAO,SOFTWARE_Id
"NAO_INFORMADO","PZ","2004","Brasil","Inglês","MEIO_DIGITAL","","NAO","","","NAO","NAO",0
"COMPUTACIONAL","OOPAR","2004","Brasil","Inglês","MEIO_DIGITAL","http://labmec.fec.unicamp.br/oopar","NAO","","","NAO","NAO",1
"NAO_INFORMADO","Sistema de Gravação Digital de áudio e tela","2004","Brasil","","NAO_INFORMADO","","NAO","","","NAO","NAO",2
"NAO_INFORMADO","Módulo de Substruturação no ambiente PZ","2010","Brasil","","NAO_INFORMADO","","NAO","","","NAO","NAO",3
