NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Doutorado","Um Sistema de Refinamento H e P Adaptativo Utilizando Elementos Finitos Hierárquicos Multidimensionais","2000","Brasil","Português","","","",0
"Doutorado","O Método dos Domínios Pontuais e Aplicações","2001","Brasil","Português","","","",1
"Doutorado","Simulação por Elementos Finitos 3D de Problemas Eletromagnéticos no tempo e na Freqüência.","2002","Brasil","Português","","","",2
"Doutorado","Formulação p do Mátodo de Elementos Finitos em Problemas de Elasticidade Linear e Não-Linear com Malhas 3d Não-Estruturadas e em Métodos Multigrid Algébricos.","2002","Brasil","Português","","","",3
"Doutorado","Análise Não-Linear Geometricamente Exata de Pórticos Espaciais","1993","Brasil","Português","","","",4
"Doutorado","Ajuste de Modelos de Estruturas Acopladas por Juntas Mecânicas usando Fun&#263;ões de Resposta em Freqüência e Síntese dos Modos dos Componentes","1993","Brasil","Português","","","",5
"Doutorado","Processamento Paralelo em Análise Estrutural","1995","Brasil","Português","","","",6
"Doutorado","Método de Galerkin Descontínuo para Equações Elípticas de Ordem Superior","2006","Brasil","Português","","","",7
"Doutorado","Extensão de GENSMAC para escoamentos de Fluidos Governados pelos Modelos Integrais de Maxwell e K-BKZ","2006","Brasil","Português","","","",8
"Doutorado","Um Framework para Automação/Integração do Processo de Desenvolvimento de Projetos de Estruturas Reticuladas Tridimensionais","2007","Brasil","Português","","","",9
"Doutorado","Implementação em paralelo do método de Arnoldi/Lanczos com reinício Implícito","2010","Brasil","Português","","","",10
"Doutorado","Modelagem Geológica por Simplóides de Bézier","2010","Brasil","Português","","","",11
"Doutorado","Simulação paralela e adaptativa de escoamentos incompreensíveis de fluidos viscosos pelo método estabilizado de elementos finitos","2012","Brasil","Português","","","",12
"Doutorado","Técnicas de programação e avaliação de solvers de sistemas de equações lineares em sistemas computacionais de alto desempenho","2013","Brasil","Português","","","",13
"Doutorado","Novos Metodos de Elementos Finitos Multi-Escalas: Teoria e Aplicações","2013","Brasil","Português","http://www.lncc.br/~dparedes/thesis_01082013.pdf","","",14
