TIPO-DE-ORIENTACAO,NOME-DO-ORIENTADO,CODIGO-INSTITUICAO,NOME-DA-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-DO-CURSO,FLAG-BOLSA,CODIGO-AGENCIA-FINANCIADORA,NOME-DA-AGENCIA,NUMERO-DE-PAGINAS,NUMERO-ID-ORIENTADO,NOME-DO-CURSO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id
"ORIENTADOR_PRINCIPAL","Tiago Luis Duarte Forti","007900000004","Universidade Estadual de Campinas","","","33070415","Engenharia Civil","SIM","001100000990","Agencia Nacional do Petroleo","0","9586074227742751","Civil Engineering",0
"ORIENTADOR_PRINCIPAL","Edimar Cesar Rylo","007900000004","Universidade Estadual de Campinas","","","90000007","Engenharia Civil","SIM","862400000009","Instituto Uniemp","0","7462096912445959","",1
"ORIENTADOR_PRINCIPAL","Cedric Marcelo Augusto Ayala Bravo","007900000004","Universidade Estadual de Campinas","","","33070229","Engenharia Mecânica","SIM","045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","0","3642648349492905","Mechanical Engineering",2
"ORIENTADOR_PRINCIPAL","Jorge Lizardo Diaz Calle","007900000004","Universidade Estadual de Campinas","","","33070040","Matemática Aplicada","SIM","045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","0","","Mathematics",3
"CO_ORIENTADOR","Arlenes Silvino da Silva","020200000009","Universidade Federal do Rio de Janeiro","","","31000282","Engenharia Civil","SIM","045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","","","Civil Engineering",4
"ORIENTADOR_PRINCIPAL","Erick Slis Raggio Santos","007900000004","Universidade Estadual de Campinas","","","33070415","Engenharia Civil","NAO","","","0","6586851137916033","Civil Engineering",5
"ORIENTADOR_PRINCIPAL","Edimar César Rylo","007900000004","Universidade Estadual de Campinas","","","33070415","Engenharia Civil","SIM","001000000998","Fundação de desenvolvimento da UNICAMP","","7462096912445959","Civil Engineering",6
"ORIENTADOR_PRINCIPAL","Agnaldo Monteiro Farias","007900000004","Universidade Estadual de Campinas","","","33070040","Matemática Aplicada","SIM","001100000990","Agencia Nacional do Petroleo","","2401725550781559","Mathematics",7
"ORIENTADOR_PRINCIPAL","Denise de Siqueira","007900000004","Universidade Estadual de Campinas","","","33070040","Matemática Aplicada","SIM","001100000990","Agencia Nacional do Petroleo","","8437756334087793","Mathematics",8
"ORIENTADOR_PRINCIPAL","Omar Yesid Duran Triana","007900000004","Universidade Estadual de Campinas","","","60048573","Doutorado em Engenharia Mecânica","SIM","001100000990","Agencia Nacional do Petroleo","","3106615145193056","Engineering",9
"ORIENTADOR_PRINCIPAL","Diogo Lira Cecílio","007900000004","Universidade Estadual de Campinas","","","60010814","Ciências e Engenharia de Petróleo","NAO","","","","2594284000782489","Mechanical Engineering",10
"ORIENTADOR_PRINCIPAL","tiago luis duarte forti","007900000004","Universidade Estadual de Campinas","","","90000007","Engenharia Civil","SIM","001100000990","Agencia Nacional do Petroleo","","9586074227742751","",11
"ORIENTADOR_PRINCIPAL","Paulo Cesar de Alvarenga Lucci","007900000004","Universidade Estadual de Campinas","","","90000007","Engenharia Civil","SIM","001100000990","Agencia Nacional do Petroleo","","5381087404504911","",12
"CO_ORIENTADOR","João Luis Gonçalves","007900000004","Universidade Estadual de Campinas","","","33070040","Matemática Aplicada","NAO","","","","","Mathematics",13
