NATUREZA,TITULO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"Relatório técnico","Implicit discontinuous Galerkin method for hyperbolic equations.","2002","Brasil","Inglês","IMPRESSO","","NAO","","","","NAO",0
"Relatório técnico de pesquisador-engenheiro no COMCO","The Implementation of Roe's First Order Finite Difference Scheme","1989","Estados Unidos","Inglês","MEIO_DIGITAL","","NAO","","","","NAO",1
