NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SIMPOSIO_Id
"Second Symposium on Computational Modeling of Multi-Scale Phenomena","","LNCC","Petrópolis","Petrópolis","",0
"","","Laboratório Nacional de Computação Científica","Universidade Federal de Santa Catarina","Florianópolis","",1
"IV Simpósio Mineiro de Mecânica Computacional","","","","Uberlândia","",2
"International Symposium on the Application of Computers and Operations Research in the Mineral Industries","","","","Beijing","",3
"II Symposium on Computational Modeling of Multi-Scale Phenomena","","","Petrópolis","Petrópolis","",4
"","","Laboratório Nacional de Computação Científica","Universidade Federal de Santa Catarina","Florianópolis","",5
"","","Laboratório Nacional de Computação Científica","Universidade Federal de Santa Catarina","Florianópolis","",6
"","","","","Belo Horizonte, MG","",7
