OUTRA-PRODUCAO-TECNICA_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"243",0
1,"294",0
2,"295",0
3,"297",0
4,"298",0
5,"299",0
6,"351",0
7,"352",0
8,"353",0
9,"354",0
10,"355",0
11,"360",0
12,"363",0
13,"296",0
