APRESENTACAO-DE-TRABALHO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"36",0
1,"43",0
2,"50",0
3,"52",0
4,"66",0
5,"77",0
6,"88",0
7,"89",0
8,"100",0
9,"101",0
10,"102",0
11,"103",0
12,"104",0
13,"105",0
14,"106",0
15,"107",0
16,"108",0
17,"110",0
18,"111",0
19,"112",0
20,"113",0
21,"114",0
22,"115",0
23,"116",0
24,"117",0
25,"119",0
26,"120",0
27,"122",0
28,"131",0
29,"132",0
30,"181",0
31,"182",0
32,"290",0
33,"399",0
34,"401",0
35,"402",0
36,"453",0
37,"465",0
38,"466",0
39,"484",0
40,"485",0
41,"491",0
42,"511",0
43,"523",0
44,"530",0
45,"531",0
46,"121",0
