ORIENTACAO-EM-ANDAMENTO-DE-INICIACAO-CIENTIFICA_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-EM-ANDAMENTO_Id
0,"568",0
1,"571",0
2,"569",0
3,"567",0
