NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id
"Professor titular","Concurso para Professor Titular","2010","Brasil","Português","","","",0
"Professor titular","Concurso público de provas e títulos para cargo de Professor Titular na área de Concepção Estrutural.","2010","Brasil","Português","","","",1
