PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"214",0
1,"237",0
2,"357",0
3,"361",0
4,"377",0
5,"378",0
6,"382",0
7,"385",0
8,"428",0
9,"236",0
