PARTICIPACAO-EM-SIMPOSIO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"147",0
1,"375",0
2,"249",0
3,"272",0
4,"265",0
5,"374",0
6,"373",0
7,"328",0
