TITULO-DO-LIVRO,NUMERO-DE-VOLUMES,PAGINA-INICIAL,PAGINA-FINAL,ISBN,ORGANIZADORES,NUMERO-DA-EDICAO-REVISAO,NUMERO-DA-SERIE,CIDADE-DA-EDITORA,NOME-DA-EDITORA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"FINITE ELEMENTS IN FLUIDS - VOL 7","","223","240","0471918040","Richard H. Gallagher; Roland Glowinsky; Phil M. Gresho; John Tinsley Oden; Olec C. Zienkiewicz","","","CHICESTER","JOHN WILEY & SONS",0
"COMPUTATIONAL MECHANICS - ADVANCES AND TRENDS","","369","410","86072277","A. K. Noor","","","NEW YORK","AMD - AMERICAN SOCIETY OF MECHANICAL ENCTINEERS",1
"ACCURACY ESTIMATES AND ADAPTIVE REFINEMENT IN FINITE ELEMENT COMPUTATIONS","","0240","0280","","I. Babuska; O. C. Zienkiewicz; J.P. de S. R. Gago; A. de Oliveira","","","NEW YORK","JOHN WILEY & SONS",2
"NUMERICAL METHODS FOR COMPRESSIBLE FLOWS - FINITE DIFFERENCE, ELEMENT AND VOLUME TECHNIQUES","","115","126","8672512","T. E. Tezduyar; T. J. R. Hughes","","","NEW YORK","AMD - AMERICAN SOCIETY OF MECHANICAL ENGINEERS",3
"INNOVATIVE METHODS FOR NONLINEAR PROBLEMS","","51","62","","W. K. Liu; T. Belytchko; K. C. Park","","","SWANSEA","PINERIDGE PRESS",4
"Computational Ballistics","","1","240","1853128384","A. A. Motta","","","Southhampton","WIT Press",5
"Estruturas e Funções.","2","635","644","","Helena M C Carmo Antunes","1","","São Carlos","USP/São Carlos",6
"Numerical Mathematics and Advanced Applications 2011","1","411","418","9783642331343","Cangiani, A.; Davidchack, R.L.; Georgoulis, E.; Gorban, A.N.; Levesley, J.; Tretyakov, M.V.","854","","Berlin","Springer",7
"Numerical Mathematics and Advanced Applications 2009","1","269","279","9783642117954","Gunilla Kreiss, Per Lötstedt, Axel M lqvist and Maya Neytcheva.","1","","Berlin","Springer",8
"Numerical Mathematics and Advanced Applications 2009","1","369","376","9783642117954","Gunilla Kreiss, Per Lötstedt, Axel M lqvist and Maya Neytcheva.","1","","Berlin","Springer",9
"Lecture Notes in Computational Science and Engineering","","87","94","9783319399270","Bulen Karasozen, Murat Manguoglu, Nunewer Tezer-Sezgin, Serdar Goktepe, Omur Ligur","1","","Cham","Springer International Publishing",10
"Encyclopodia of Vibration","2","100","125","0122270851","Simon G. Braun; David J Ewins; Singiresu S Ral","1","1","Kent","Academic Press",11
