NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DO-CONHECIMENTO_Id
"ENGENHARIAS","","Mecânica dos Sólidos","",0
"ENGENHARIAS","","Fenômenos de Transporte","",1
"ENGENHARIAS","","Fenômenos de Transporte","Mecânica dos Fluídos",2
"ENGENHARIAS","","Estruturas","",3
"ENGENHARIAS","","Estruturas","Mecânica das Estruturas",4
"CIENCIAS_EXATAS_E_DA_TERRA","","Matemática Aplicada","Análise Numérica",5
"CIENCIAS_EXATAS_E_DA_TERRA","","Matemática Aplicada","",6
"ENGENHARIAS","","Engenharia de Petroleo","",7
"ENGENHARIAS","","Mecânica dos Sólidos","Dinâmica dos Corpos Rígidos, Elásticos e Plásticos",8
"ENGENHARIAS","","Mecânica dos Sólidos","",9
"ENGENHARIAS","","Mecânica dos Sólidos","",10
"ENGENHARIAS","","Fenômenos de Transporte","Mecânica dos Fluídos",11
"ENGENHARIAS","","Fenômenos de Transporte","Dinâmica dos Gases",12
"CIENCIAS_EXATAS_E_DA_TERRA","","Matemática Aplicada","",13
"CIENCIAS_EXATAS_E_DA_TERRA","","Matemática Aplicada","",14
"CIENCIAS_EXATAS_E_DA_TERRA","","Matemática Aplicada","",15
"CIENCIAS_EXATAS_E_DA_TERRA","","Matemática Aplicada","",16
"ENGENHARIAS","","Metalurgia de Transformação","",17
"CIENCIAS_EXATAS_E_DA_TERRA","","Matemática Aplicada","",18
"CIENCIAS_EXATAS_E_DA_TERRA","","Matemática Aplicada","",19
"CIENCIAS_EXATAS_E_DA_TERRA","","Matemática Aplicada","",20
"ENGENHARIAS","","Estruturas","",21
"ENGENHARIAS","","Estruturas","",22
"ENGENHARIAS","","Estruturas","",23
"ENGENHARIAS","","Estruturas","",24
"ENGENHARIAS","","Estruturas","",25
"ENGENHARIAS","","Estruturas","",26
"ENGENHARIAS","","Estruturas","",27
"ENGENHARIAS","","Estruturas","",28
"ENGENHARIAS","","Estruturas","",29
"ENGENHARIAS","","Estruturas","",30
"ENGENHARIAS","","Estruturas","",31
"ENGENHARIAS","","Estruturas","",32
"ENGENHARIAS","","Estruturas","",33
"ENGENHARIAS","","Estruturas","",34
"ENGENHARIAS","","Estruturas","",35
"ENGENHARIAS","","Estruturas","",36
"ENGENHARIAS","","Estruturas","",37
"ENGENHARIAS","","Estruturas","",38
"CIENCIAS_EXATAS_E_DA_TERRA","","Matemática Aplicada","",39
"CIENCIAS_EXATAS_E_DA_TERRA","","Matemática Aplicada","",40
"CIENCIAS_EXATAS_E_DA_TERRA","","Matemática Aplicada","",41
"CIENCIAS_EXATAS_E_DA_TERRA","","Matemática Aplicada","",42
"CIENCIAS_EXATAS_E_DA_TERRA","","Matemática Aplicada","",43
