EDITORA,CIDADE-DA-EDITORA,NUMERO-DE-PAGINAS,ISSN-ISBN,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"R.P. 10/2002 - IMECC-UNICAMP","","15","",0
"","","","",1
