NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SEMINARIO_Id
"XXVIII Seminário Brasileiro de Análise","","","","Rio de Janeiro","",0
"","","","FEC - UNICAMP","Campinas, SP","",1
"XXXVI Congresso Nacional de Matemática Aplicada e Computacional","","","","Gramado","",2
