CODIGO-INSTITUICAO,NOME-INSTITUICAO,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id
"006740000003","Escola de Engenharia de São Carlos",0
"006700000002","Universidade de São Paulo",1
"746900000000","University of Agricultural Sciences - Bangalore",2
