NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id
"Livre-docência","Concurso de Livre-Docência","2002","Brasil","","","","",0
"Livre-docência","Concurso à Livre-Docência do Departamento de Engenharia de Estruturas e Geotécnica - PEF","2016","Brasil","Português","","","",1
"Livre-docência","Concurso de Livre-Docência","1995","Brasil","","","","",2
