AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,LINHA-DE-PESQUISA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id
112,,,,,,,,,,,,,20,,,,,,,,
113,,,,,,,,,,,,,21,,,,,,,,
114,,,,,,,,,,,,,22,,,,,,,,
115,,,,,,,,,,,,,23,,,,,,,,
116,,,,,,,,,,,,,24,,,,,,,,
117,,,,,,,,,,,,,25,,,,,,,,
118,,,,,,,,,,,,,26,,,,,,,,
119,,,,,,,,,,,,,27,,,,,,,,
120,,,,,,,,,,,,,28,,,,,,,,
121,,,,,,,,,,,,,29,,,,,,,,
122,,,,,,,,,,,,,39,,,,,,,,
123,,,,,,,,,,,,,40,,,,,,,,
124,,,,,,,,,,,,,46,,,,,,,,
125,,,,,,,,,,,,,,0,,,,,,,
126,,,,,,,,,,,,,,1,,,,,,,
127,,,,,,,,,,,,,,2,,,,,,,
128,,,,,,,,,,,,,,3,,,,,,,
129,,,,,,,,,,,,,,8,,,,,,,
130,,,,,,,,,,,,,,,0,,,,,,
131,,,,,,,,,,,,,,,1,,,,,,
132,,,,,,,,,,,,,,,2,,,,,,
133,,,,,,,,,,,,,,,3,,,,,,
134,,,,,,,,,,,,,,,4,,,,,,
135,,,,,,,,,,,,,,,5,,,,,,
136,,,,,,,,,,,,,,,10,,,,,,
137,,,,,,,,,,,,,,,11,,,,,,
138,,,,,,,,,,,,,,,,2,,,,,
139,,,,,,,,,,,,,,,,3,,,,,
140,,,,,,,,,,,,,,,,4,,,,,
141,,,,,,,,,,,,,,,,5,,,,,
142,,,,,,,,,,,,,,,,6,,,,,
143,,,,,,,,,,,,,,,,9,,,,,
144,,,,,,,,,,,,,,,,11,,,,,
145,,,,,,,,,,,,,,,,12,,,,,
146,,,,,,,,,,,,,,,,15,,,,,
147,,,,,,,,,,,,,,,,,0,,,,
148,,,,,,,,,,,,,,,,,1,,,,
149,,,,,,,,,,,,,,,,,2,,,,
150,,,,,,,,,,,,,,,,,3,,,,
151,,,,,,,,,,,,,,,,,5,,,,
152,,,,,,,,,,,,,,,,,9,,,,
153,,,,,,,,,,,,,,,,,10,,,,
154,,,,,,,,,,,,,,,,,,2,,,
155,,,,,,,,,,,,,,,,,,,0,,
156,,,,,,,,,,,,,,,,,,,1,,
157,,,,,,,,,,,,,,,,,,,2,,
158,,,,,,,,,,,,,,,,,,,3,,
159,,,,,,,,,,,,,,,,,,,12,,
160,,,,,,,,,,,,,,,,,,,25,,
161,,,,,,,,,,,,,,,,,,,,68,
162,,,,,,,,,,,,,,,,,,,,69,
163,,,,,,,,,,,,,,,,,,,,,0
