NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,OUTRA-PRODUCAO-TECNICA_Id
"Gustavo Camargo Longhin","LONGHIN, G. C.","2","9121612523149859",49,,,,,,,,,,,
"Edimar Cesar Rylo","RYLO, E. C.","1","7462096912445959",50,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","2","6051486998967925",50,,,,,,,,,,,
"Fábio Henrique Campos Mauad","MAUAD, F. H. C.","1","",51,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","2","6051486998967925",51,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",52,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",53,,,,,,,,,,,
"Cedric Marcelo Ayala Bravo","BRAVO, C. M. A.","2","3642648349492905",53,,,,,,,,,,,
"Arlenes Silvino da Silva","SILVA, A. S.","1","2796161057471466",54,,,,,,,,,,,
"Alvaro L G Coutinho","COUTINHO, A. L. G.","2","6402361744624287",54,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","3","6051486998967925",54,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",55,,,,,,,,,,,
"Paulo Dore Fernandes","FERNANDES, P. D.","2","",55,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",56,,,,,,,,,,,
"Fábio Henrique Campos Mauad","MAUAD, F. H. C.","2","",56,,,,,,,,,,,
"Erick Slis Raggio Santos","SANTOS, E. S. R.","3","6586851137916033",56,,,,,,,,,,,
"Francisco Antonio Menezes","MENEZES, F. A.","1","7334895542373360",57,,,,,,,,,,,
"Rodrigo Ribeiro Paccola","PACCOLA, R. R.","2","6516780235221804",57,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","3","6051486998967925",57,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",58,,,,,,,,,,,
"Edimar Cesar Rylo","RYLO, E. C.","2","7462096912445959",58,,,,,,,,,,,
"L. DEMKOWICZ","DEMKOWICZ, L.","3","",58,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",59,,,,,,,,,,,
"Cedric Marcelo Augusto Ayala Bravo","BRAVO, C. M. A. A.","2","3642648349492905",59,,,,,,,,,,,
"Edimar Cesar Rylo","RYLO, E. C.","3","7462096912445959",59,,,,,,,,,,,
"Tiago Luis Duarte Forti","FORTI, T. L. D.","4","9586074227742751",59,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",60,,,,,,,,,,,
"Renato Gomes Damas","DAMAS, R. G.","2","9705909592533525",60,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",61,,,,,,,,,,,
"Gustavo Camargo Longhin","LONGHIN, G. C.","2","9121612523149859",61,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",62,,,,,,,,,,,
