TRABALHO-EM-EVENTOS_Id,SEQUENCIA-PRODUCAO,TRABALHOS-EM-EVENTOS_Id
0,"24",0
1,"25",0
2,"26",0
3,"28",0
4,"29",0
5,"30",0
6,"32",0
7,"33",0
8,"34",0
9,"35",0
10,"37",0
11,"38",0
12,"39",0
13,"40",0
14,"42",0
15,"45",0
16,"46",0
17,"47",0
18,"48",0
19,"49",0
20,"51",0
21,"55",0
22,"57",0
23,"58",0
24,"59",0
25,"61",0
26,"63",0
27,"64",0
28,"65",0
29,"67",0
30,"68",0
31,"69",0
32,"70",0
33,"71",0
34,"72",0
35,"73",0
36,"74",0
37,"75",0
38,"76",0
39,"78",0
40,"79",0
41,"81",0
42,"82",0
43,"83",0
44,"84",0
45,"85",0
46,"86",0
47,"87",0
48,"130",0
49,"135",0
50,"136",0
51,"137",0
52,"139",0
53,"140",0
54,"141",0
55,"142",0
56,"144",0
57,"145",0
58,"146",0
59,"165",0
60,"166",0
61,"167",0
62,"168",0
63,"176",0
64,"177",0
65,"178",0
66,"179",0
67,"180",0
68,"186",0
69,"187",0
70,"192",0
71,"193",0
72,"194",0
73,"195",0
74,"197",0
75,"201",0
76,"202",0
77,"203",0
78,"204",0
79,"241",0
80,"344",0
81,"345",0
82,"346",0
83,"347",0
84,"348",0
85,"349",0
86,"350",0
87,"381",0
88,"404",0
89,"405",0
90,"406",0
91,"407",0
92,"408",0
93,"409",0
94,"410",0
95,"411",0
96,"416",0
97,"433",0
98,"437",0
99,"438",0
100,"439",0
101,"440",0
102,"441",0
103,"447",0
104,"456",0
105,"457",0
106,"458",0
107,"459",0
108,"460",0
109,"461",0
110,"462",0
111,"464",0
112,"487",0
113,"490",0
114,"492",0
115,"493",0
116,"494",0
117,"508",0
118,"513",0
119,"514",0
120,"515",0
121,"516",0
122,"517",0
123,"518",0
124,"519",0
125,"520",0
126,"184",0
