CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"109",0
1,"118",0
2,"123",0
3,"124",0
4,"191",0
5,"210",0
6,"289",0
7,"512",0
8,"80",0
9,"206",0
