NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DO-CONHECIMENTO_Id
"ENGENHARIAS","Engenharia Mecânica","Fenômenos de Transporte","Mecânica dos Fluídos",3
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","Análise Numérica",4
"ENGENHARIAS","Engenharia Civil","Estruturas","Mecânica das Estruturas",6
"ENGENHARIAS","Engenharia Civil","Estruturas","",20
"ENGENHARIAS","Engenharia Mecânica","Mecânica dos Sólidos","",25
"ENGENHARIAS","Engenharia Mecânica","Mecânica dos Sólidos","",26
"ENGENHARIAS","Engenharia Mecânica","Mecânica dos Sólidos","",27
"ENGENHARIAS","Engenharia Mecânica","Mecânica dos Sólidos","",28
"ENGENHARIAS","Engenharia Mecânica","Mecânica dos Sólidos","",35
"ENGENHARIAS","Engenharia Mecânica","Mecânica dos Sólidos","",36
"ENGENHARIAS","Engenharia Mecânica","Mecânica dos Sólidos","",37
"ENGENHARIAS","Engenharia Civil","Estruturas","",39
"ENGENHARIAS","Engenharia Civil","Estruturas","",40
"ENGENHARIAS","Engenharia Civil","Estruturas","",41
"ENGENHARIAS","Engenharia Civil","Estruturas","",42
"ENGENHARIAS","Engenharia Civil","Estruturas","",43
"ENGENHARIAS","Engenharia Civil","Estruturas","",44
"ENGENHARIAS","Engenharia Civil","Estruturas","",45
"ENGENHARIAS","Engenharia Civil","Estruturas","",46
"ENGENHARIAS","Engenharia Civil","Estruturas","",47
"ENGENHARIAS","Engenharia Civil","Estruturas","",48
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","",49
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","",50
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","",51
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","",52
"ENGENHARIAS","Engenharia Civil","Estruturas","Mecânica das Estruturas",53
"ENGENHARIAS","Engenharia Mecânica","Fenômenos de Transporte","Dinâmica dos Gases",54
"ENGENHARIAS","Engenharia Civil","Estruturas","Mecânica das Estruturas",57
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","",58
"ENGENHARIAS","Engenharia Civil","Estruturas","",66
"ENGENHARIAS","Engenharia Civil","Estruturas","",69
"ENGENHARIAS","Engenharia Civil","Estruturas","",70
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","Análise Numérica",71
"ENGENHARIAS","Engenharia Civil","Estruturas","Mecânica das Estruturas",72
"CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","",73
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","Análise Numérica",75
"ENGENHARIAS","Engenharia Civil","Estruturas","",82
"ENGENHARIAS","Engenharia Civil","Estruturas","",84
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","adaptividade","",85
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","Análise Numérica",86
"ENGENHARIAS","Engenharia Civil","Estruturas","Mecânica das Estruturas",87
"ENGENHARIAS","Engenharia Mecânica","Mecânica dos Sólidos","",98
"ENGENHARIAS","Engenharia Mecânica","Mecânica dos Sólidos","",99
"ENGENHARIAS","Engenharia Mecânica","Mecânica dos Sólidos","Mecânica dos Corpos Sólidos, Elásticos e Plásticos",122
"ENGENHARIAS","Engenharia Civil","Estruturas","",135
"ENGENHARIAS","Engenharia Civil","Estruturas","",138
"ENGENHARIAS","Engenharia Civil","Estruturas","",139
"ENGENHARIAS","Engenharia Civil","Estruturas","",140
"ENGENHARIAS","Engenharia Civil","Estruturas","",141
"ENGENHARIAS","Engenharia Civil","Estruturas","",142
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","",143
"ENGENHARIAS","Engenharia de Minas","Engenharia de Petroleo","",144
"ENGENHARIAS","Engenharia Civil","Geotécnica","Mecânicas dos Solos",145
"ENGENHARIAS","Engenharia Civil","Estruturas","",147
"ENGENHARIAS","Engenharia Civil","Estruturas","",148
"ENGENHARIAS","Engenharia Civil","Estruturas","",149
"ENGENHARIAS","Engenharia Civil","Estruturas","",150
"ENGENHARIAS","Engenharia Mecânica","Engenharia de Petroleo","",152
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","adaptividade","",153
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","Análise Numérica",154
"ENGENHARIAS","Engenharia Civil","Estruturas","",155
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","",156
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","",157
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","",158
"CIENCIAS_EXATAS_E_DA_TERRA","Matemática","Matemática Aplicada","",160
"ENGENHARIAS","Engenharia Civil","Estruturas","",161
"ENGENHARIAS","Engenharia Civil","Estruturas","",162
"ENGENHARIAS","Engenharia Civil","Estruturas","",163
